,회사명,거래소코드,회계년도,이자보상배율,부실기업1
4852,(주)엠게임,58630,12-Dec,0.19,1
4914,(주)엠피대산,65150,16-Dec,0.45,1
4936,(주)영우디에스피,143540,18-Dec,-10.34,1
4960,(주)영풍,670,15-Dec,-0.66,1
4971,(주)영흥,12160,17-Dec,0.56,1
4983,(주)예선테크,250930,16-Dec,-3.62,1
5000,(주)예스티,122640,19-Dec,-16.94,1
5031,(주)오르비텍,46120,14-Dec,-1.47,1
5038,(주)오리엔탈정공,14940,12-Dec,-3.42,1
5048,(주)오리엔트바이오,2630,13-Mar,0.98,1
5055,(주)오리엔트정공,65500,11-Dec,-4.65,1
5079,(주)오리콤,10470,14-Dec,0,1
5086,(주)오스코텍,39200,12-Dec,-0.81,1
5094,(주)오스테오닉,226400,18-Dec,0.19,1
5104,(주)오스템,31510,19-Dec,-1.94,1
5109,(주)오이솔루션,138080,18-Dec,0.49,1
5113,(주)오킨스전자,80580,16-Dec,-12.63,1
5138,(주)오하임아이엔티,309930,19-Dec,-1.45,1
5139,(주)옵투스제약,131030,11-Dec,0,1
5152,(주)옵트론텍,82210,15-Dec,0.38,1
5158,(주)옵티팜,153710,19-Dec,-7.51,1
5164,(주)와이비엠넷,57030,16-Dec,-6.77,1
5196,(주)와이오엠,66430,12-Jun,-5.71,1
5208,(주)와이제이엠게임즈,193250,18-Dec,-2.6,1
5211,(주)와이즈버즈,273060,18-Dec,-1.7,1
5222,(주)와이지엔터테인먼트,122870,11-Dec,0,1
5233,(주)와이지플러스,37270,13-Dec,-75.65,1
5241,(주)와이투솔루션,11690,12-Dec,0.47,1
5253,(주)와이티엔,40300,15-Dec,-2.28,1
5264,(주)우리기술,32820,13-Dec,-4.33,1
5282,(주)우리로,46970,14-Dec,-11.19,1
5295,(주)우성,6980,18-Dec,-2.18,1
5305,(주)우신시스템,17370,19-Dec,0.16,1
5307,(주)우정바이오,215380,15-Dec,0,1
5327,(주)우진,105840,17-Dec,-3.72,1
5336,(주)우진플라임,49800,15-Dec,-2.09,1
5341,(주)웅진,16880,11-Dec,-0.73,1
5369,(주)원바이오젠,307280,19-Dec,-1.68,1
5370,(주)원익,32940,11-Dec,0.96,1
5394,(주)원익큐브,14190,13-Dec,0.94,1
5448,(주)월덱스,101160,13-Dec,-1.44,1
5457,(주)웨이브일렉트로닉스,95270,12-Dec,-10.79,1
5480,(주)웰크론한텍,76080,17-Dec,0.73,1
5487,(주)웹스,196700,19-Dec,0.45,1
5506,(주)위닉스,44340,16-Dec,0.69,1
5514,(주)위메이드,112040,15-Dec,-12.98,1
5523,(주)위메이드맥스,101730,15-Dec,-8.79,1
5528,(주)위메이드플레이,123420,11-Dec,-3,1
5557,(주)윈스,136540,11-Dec,0,1
5567,(주)윈팩,97800,14-Dec,0.05,1
5588,(주)윌비스,8600,19-Dec,-2.31,1
5605,(주)유니온,910,18-Dec,-0.26,1
5612,(주)유니켐,11330,12-Dec,-3.86,1
5652,(주)유라테크,48430,18-Dec,0,1
5660,(주)유비케어,32620,14-Dec,0,1
5667,(주)유비쿼스,264450,18-Dec,0,1
5676,(주)유비쿼스홀딩스,78070,18-Dec,0,1
5679,(주)유성티엔에스,24800,12-Dec,0.41,1
5688,(주)유수홀딩스,700,12-Dec,-19.16,1
5696,(주)유신,54930,11-Dec,-12.47,1
5705,(주)유씨아이,38340,11-Dec,-0.38,1
5719,(주)유아이디,69330,16-Dec,-1.52,1
5723,(주)유에스티,263770,17-Dec,0,1
5737,(주)유진로봇,56080,13-Dec,-3.39,1
5746,(주)유진테크,84370,13-Dec,0,1
5755,(주)유테크,178780,17-Dec,-5.45,1
5762,(주)유틸렉스,263050,19-Dec,-112.78,1
