,회사명,거래소코드,회계년도,매출원가감소율,채울열
2,감성코퍼레이션,36620,13-Dec,,80.31
3,감성코퍼레이션,36620,14-Dec,,80.28
4,감성코퍼레이션,36620,15-Dec,,81.66
5,감성코퍼레이션,36620,16-Dec,,82.9
6,감성코퍼레이션,36620,17-Dec,,82.45
7,감성코퍼레이션,36620,18-Dec,,83.32
8,감성코퍼레이션,36620,19-Dec,-10.97560976,83.47
0,강남제비스코,860,11-Dec,1.149425287,77.91
1,강남제비스코,860,12-Dec,-1.162790698,80.41
2,강남제비스코,860,13-Dec,-2.380952381,80.36
3,강남제비스코,860,14-Dec,0,79.71
4,강남제비스코,860,15-Dec,-3.703703704,77.5
5,강남제비스코,860,16-Dec,-1.25,77.25
6,강남제비스코,860,17-Dec,4.761904762,78.45
7,강남제비스코,860,18-Dec,4.545454545,81.48
8,강남제비스코,860,19-Dec,0,79.49
0,강스템바이오텍,217730,15-Dec,0,0
1,강스템바이오텍,217730,16-Dec,0,3.42
2,강스템바이오텍,217730,17-Dec,0,27.81
3,강스템바이오텍,217730,18-Dec,26.43678161,50.99
4,강스템바이오텍,217730,19-Dec,18.69158879,50.43
0,강원랜드,35250,11-Dec,13.95348837,67.98
1,강원랜드,35250,12-Dec,14,72.14
2,강원랜드,35250,13-Dec,5.660377358,62.29
3,강원랜드,35250,14-Dec,-10.41666667,66.33
4,강원랜드,35250,15-Dec,-4.347826087,69.36
5,강원랜드,35250,16-Dec,0,72.25
6,강원랜드,35250,17-Dec,6.12244898,70.8
7,강원랜드,35250,18-Dec,3.921568627,70.51
8,강원랜드,35250,19-Dec,-6.25,58.36
0,강원에너지,114190,12-Dec,0,82.3
1,강원에너지,114190,13-Dec,0,81.985
2,강원에너지,114190,14-Dec,0,81.55
3,강원에너지,114190,15-Dec,0,81.985
4,강원에너지,114190,16-Dec,0,83.13
5,강원에너지,114190,17-Dec,16.16161616,82.425
6,강원에너지,114190,18-Dec,-6.451612903,84.185
7,강원에너지,114190,19-Dec,18.42105263,84.755
8,강원에너지,114190,11-Nov,0,85.49
0,갤럭시아머니트리,94480,11-Dec,0,5.55
1,갤럭시아머니트리,94480,12-Dec,-10.84337349,9.16
2,갤럭시아머니트리,94480,13-Dec,0,9.26
3,갤럭시아머니트리,94480,14-Dec,-6.41025641,9.49
4,갤럭시아머니트리,94480,15-Dec,-39.28571429,26.25
5,갤럭시아머니트리,94480,16-Dec,-3.703703704,32.73
6,갤럭시아머니트리,94480,17-Dec,5.263157895,35.91
7,갤럭시아머니트리,94480,18-Dec,6.557377049,40.29
8,갤럭시아머니트리,94480,19-Dec,0,47.1
0,갤럭시아에스엠,11420,11-Dec,-2.43902439,67.98
1,갤럭시아에스엠,11420,12-Dec,4.651162791,72.14
2,갤럭시아에스엠,11420,13-Dec,4.444444444,62.29
3,갤럭시아에스엠,11420,14-Dec,2.173913043,66.33
4,갤럭시아에스엠,11420,15-Dec,-2.222222222,69.36
5,갤럭시아에스엠,11420,16-Dec,8.163265306,72.25
6,갤럭시아에스엠,11420,17-Dec,2,70.8
7,갤럭시아에스엠,11420,18-Dec,19.35483871,70.51
8,갤럭시아에스엠,11420,19-Dec,-31.91489362,58.36
0,경남스틸,39240,11-Dec,,90.89
1,경남스틸,39240,12-Dec,,91.46
2,경남스틸,39240,13-Dec,,91.98
3,경남스틸,39240,14-Dec,,91.175
4,경남스틸,39240,15-Dec,,90.055
5,경남스틸,39240,16-Dec,,89.125
6,경남스틸,39240,17-Dec,,90.23
7,경남스틸,39240,18-Dec,,91.965
8,경남스틸,39240,19-Dec,,92.405
0,경남제약,53950,11-Dec,,41.73
1,경남제약,53950,12-Dec,,41.84
2,경남제약,53950,13-Dec,,43.25
3,경남제약,53950,14-Dec,,44.93
