,회사명,거래소코드,회계년도,매출원가감소율,2011.mid,2012.mid,2013.mid,2014.mid,2015.mid,2016.mid,2017.mid,2018.mid,2019.mid
1311,두산테스나,131970,Dec-13,0,73.195,76.1,73.785,82.65,89.585,84.625,79.27,75.61,74.45
1318,두올,16740,Dec-16,0,86.155,87.3,87.315,87.805,86.72,87.335,88.505,89.65,89.98
1322,듀오백,73190,Dec-11,-1.538461538,68.32,70.99,72.77,73.1,75.54,75.33,71.71,73.37,72.68
1331,드래곤플라이,30350,Dec-11,70,5.55,9.16,9.26,9.49,26.25,32.73,35.91,40.29,47.1
1340,드림시큐리티,203650,Dec-14,0,0,0,0,0,0,0,0,13.425,43.41
1346,드림어스컴퍼니,60570,Dec-11,8.602150538,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
1355,드림텍,192650,Dec-19,0,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
1356,디딤,217620,Dec-15,0,0,0,0,0,0,0,0,13.425,43.41
1361,디모아,16670,Dec-11,0,80.81,81.77,80.31,80.28,81.66,82.9,82.45,83.32,83.47
1370,디바이스이엔지,187870,Dec-17,0,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
1373,디비아이엔씨,12030,Dec-11,0,76.05,72.2,75.75,79.68,81.79,82.04,83.55,84.35,82.22
1382,디스플레이테크,66670,Dec-11,0,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
1391,디아이,3160,Dec-11,7.692307692,0,35.05,48.57,50.39,49.29,56.81,64.32,63.41,64.46
1400,디아이씨,92200,Dec-11,2.325581395,86.155,87.3,87.315,87.805,86.72,87.335,88.505,89.65,89.98
1409,디아크,78590,Dec-11,0,86.155,87.3,87.315,87.805,86.72,87.335,88.505,89.65,89.98
1418,디알비동일,4840,Dec-11,3.75,82.36,81.89,80.455,81.39,80.885,79.14,82.615,83.27,81.665
1427,디알젬,263690,Dec-18,0,0,35.05,48.57,50.39,49.29,56.81,64.32,63.41,64.46
1429,디알텍,214680,Dec-15,0,0,0,0,0,0,0,0,13.425,43.41
1434,디앤씨미디어,263720,Dec-17,0,5.55,9.16,9.26,9.49,26.25,32.73,35.91,40.29,47.1
1437,디에스앤엘,141020,Dec-13,0,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
1444,디에스케이,109740,Dec-11,-6.172839506,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
1453,디에이테크놀로지,196490,Dec-14,0,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
1459,디에이피,66900,Dec-11,0,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
1468,디엔에이링크,127120,Dec-11,0,0,0,0,0,0,3.42,27.81,50.99,50.43
1477,디엔에프,92070,Dec-11,0,77.91,80.41,80.36,79.71,77.5,77.25,78.45,81.48,79.49
1486,디엔오토모티브,7340,Dec-11,0,82.36,81.89,80.455,81.39,80.885,79.14,82.615,83.27,81.665
1495,디엠에스,68790,Dec-11,0,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
1504,디오,39840,Dec-11,-39.02439024,0,35.05,48.57,50.39,49.29,56.81,64.32,63.41,64.46
1513,디와이디,219550,Dec-15,0,0,0,0,0,0,0,0,13.425,43.41
1518,디이엔티,79810,Dec-11,0,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
1527,디지아이,43360,Dec-11,0,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
1536,디지캡,197140,Dec-18,0,5.55,9.16,9.26,9.49,26.25,32.73,35.91,40.29,47.1
1538,디지털대성,68930,Dec-11,0,0,0,0,0,0,0,0,0,0
1547,디지틀조선일보,33130,Dec-11,-4,5.55,9.16,9.26,9.49,26.25,32.73,35.91,40.29,47.1
1556,디케이앤디,263020,Dec-18,0,82.36,81.89,80.455,81.39,80.885,79.14,82.615,83.27,81.665
1558,디케이티,290550,Dec-18,0,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
1560,디티앤씨,187220,Dec-14,0,85.355,84.965,83.825,85.75,83.845,86.755,83.805,83.645,73.735
1566,딜리,131180,Dec-11,0,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
