,회사명,회계년도,거래소코드_x,매출원가율,매출원가율여부,거래소코드_y,매출원가감소율,산업중간값
249,경창산업,17-Dec,24910,0.91,,24910,4.395604396,88.505
250,경창산업,18-Dec,24910,0.88,,24910,-3.409090909,89.65
251,경창산업,19-Dec,24910,0.93,,24910,5.376344086,89.98
252,계룡건설산업,11-Dec,13580,0.92,,13580,0,90.885
253,계룡건설산업,12-Dec,13580,0.92,,13580,0,91.785
254,계룡건설산업,13-Dec,13580,0.93,,13580,1.075268817,93.005
255,계룡건설산업,14-Dec,13580,1,,13580,7,92.97
256,계룡건설산업,15-Dec,13580,0.93,,13580,-7.52688172,91.755
257,계룡건설산업,16-Dec,13580,0.92,,13580,-1.086956522,90.575
258,계룡건설산업,17-Dec,13580,0.9,,13580,-2.222222222,90.275
259,계룡건설산업,18-Dec,13580,0.89,,13580,-1.123595506,89.78
260,계룡건설산업,19-Dec,13580,0.9,,13580,1.111111111,90.355
261,골드앤에스,11-Dec,35290,0.68,,35290,-4.411764706,39.575
262,골드앤에스,12-Dec,35290,0.71,,35290,4.225352113,41.175
263,골드앤에스,13-Dec,35290,0.71,,35290,0,43.375
264,골드앤에스,14-Dec,35290,0.75,,35290,5.333333333,44.96
265,골드앤에스,15-Dec,35290,0.68,,35290,-10.29411765,56.37
266,골드앤에스,16-Dec,35290,0.59,,35290,-15.25423729,53.67
267,골드앤에스,17-Dec,35290,0.63,,35290,6.349206349,54.175
268,골드앤에스,18-Dec,35290,0.51,,35290,-23.52941176,47.75
269,골드앤에스,19-Dec,35290,0.82,,35290,37.80487805,53.78
270,골드퍼시픽,11-Dec,38530,1,,38530,,78.63
271,골드퍼시픽,12-Dec,38530,1,,38530,,79.75
272,골드퍼시픽,13-Dec,38530,1.15,,38530,,81.65
273,골드퍼시픽,14-Dec,38530,1.09,,38530,-5.504587156,81.58
274,골드퍼시픽,15-Dec,38530,1.06,,38530,-2.830188679,81.36
275,골드퍼시픽,16-Dec,38530,1,,38530,,82.3
276,골드퍼시픽,17-Dec,38530,1,,38530,,81.2
277,골드퍼시픽,18-Dec,38530,0.25,,38530,,81.97
278,골드퍼시픽,19-Dec,38530,1,,38530,,81.8
279,골프존뉴딘홀딩스,11-Dec,121440,0.47,,121440,,5.55
280,골프존뉴딘홀딩스,12-Dec,121440,0.45,,121440,-4.444444444,9.16
281,골프존뉴딘홀딩스,13-Dec,121440,0.51,,121440,11.76470588,9.26
282,골프존뉴딘홀딩스,14-Dec,121440,0.51,,121440,0,9.49
283,골프존뉴딘홀딩스,15-Dec,121440,0.66,,121440,22.72727273,26.25
284,골프존뉴딘홀딩스,16-Dec,121440,0.52,,121440,-26.92307692,32.73
285,골프존뉴딘홀딩스,17-Dec,121440,0.53,,121440,1.886792453,35.91
286,골프존뉴딘홀딩스,18-Dec,121440,0.58,,121440,8.620689655,40.29
287,골프존뉴딘홀딩스,19-Dec,121440,0.61,,121440,4.918032787,47.1
288,광림,11-Dec,14200,1,,14200,,86.155
289,광림,12-Dec,14200,1,,14200,,87.3
290,광림,13-Dec,14200,1,,14200,,87.315
291,광림,14-Dec,14200,0.76,,14200,,87.805
292,광림,15-Dec,14200,1,,14200,,86.72
293,광림,16-Dec,14200,0.86,,14200,,87.335
294,광림,17-Dec,14200,0.97,,14200,11.34020619,88.505
