,회사명,거래소코드,회계년도,산업코드,산업명,2011,2012,2013,2014,2015,2016,2017,2018,2019
12444,엔브이에이치코리아(주),67570,Dec-13,33003,  자동차 및 트레일러 제조업,,,,,,,,,
12451,엔시트론(주),101400,Dec-11,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
12460,엔에이치엔(주),181710,Dec-13,105802,  출판업,,,,,,,,,
12467,엔에이치엔한국사이버결제(주),60250,Dec-11,106309,  정보서비스업,,,,,,,,,
12476,엔피씨(주),4250,Dec-11,32202,  고무 및 플라스틱제품 제조업,,,,,,,,,
12485,엘브이엠씨홀딩스(주),900140,Dec-11,137105,  전문 서비스업,,,,,,,,,
12494,엘비세미콘(주),61970,Dec-11,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
12503,엘아이지넥스원(주),79550,Dec-15,32502,  금속가공제품 제조업; 기계 및 가구 제외,,,,,,,,,
12508,엘에스전선아시아(주),229640,Dec-16,147509,  사업지원 서비스업,,,,,,,,,
12512,엘지디스플레이(주),34220,Dec-11,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
12521,엘지전자(주),66570,Dec-11,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
12530,엘컴텍(주),37950,Dec-11,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
12539,엘티씨(주),170920,Dec-13,32001,  화학물질 및 화학제품 제조업; 의약품 제외,,,,,,,,,
12546,엠에프엠코리아(주),323230,Dec-19,117201,  기타금융업,,,,,,,,,
12547,엠케이전자(주),33160,Dec-11,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
12556,영보화학(주),14440,Dec-11,32202,  고무 및 플라스틱제품 제조업,,,,,,,,,
12565,영신금속공업(주),7530,Dec-11,32509,  금속가공제품 제조업; 기계 및 가구 제외,,,,,,,,,
12574,영진약품(주),3520,Dec-11,32102,  의료용 물질 및 의약품 제조업,,,,,,,,,
12583,영풍정밀(주),36560,Dec-11,32901,  기타 기계 및 장비 제조업,,,,,,,,,
12592,영풍제지(주),6740,Dec-11,31702,"  펄프, 종이 및 종이제품 제조업",,,,,,,,,
12601,영화금속(주),12280,Dec-11,33003,  자동차 및 트레일러 제조업,,,,,,,,,
12610,영화테크(주),265560,Dec-17,33003,  자동차 및 트레일러 제조업,,,,,,,,,
12613,예스이십사(주),53280,Dec-11,74709,  소매업; 자동차 제외,,,,,,,,,
12622,오가닉티코스메틱스홀딩스컴퍼니리미티드,900300,Dec-15,137105,  전문 서비스업,,,,,,,,,
12627,오로라월드(주),39830,Dec-11,137302,"  기타 전문, 과학 및 기술 서비스업",,,,,,,,,
12636,오상자이엘(주),53980,Dec-11,106201,"  컴퓨터 프로그래밍, 시스템 통합 및 관리업",,,,,,,,,
12645,오성첨단소재(주),52420,Dec-11,32902,  기타 기계 및 장비 제조업,,,,,,,,,
12654,오션브릿지(주),241790,Dec-16,32004,  화학물질 및 화학제품 제조업; 의약품 제외,,,,,,,,,
12658,오스템임플란트(주),48260,Dec-11,32701,"  의료, 정밀, 광학기기 및 시계 제조업",,,,,,,,,
12667,올리패스(주),244460,Dec-19,32101,  의료용 물질 및 의약품 제조업,,,,,,,,,
12668,올릭스(주),226950,Dec-18,137001,  연구개발업,,,,,,,,,
12670,옴니시스템(주),57540,Dec-11,32702,"  의료, 정밀, 광학기기 및 시계 제조업",,,,,,,,,
12679,옵티시스(주),109080,Dec-11,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
12688,와이더블유(주),51390,Dec-11,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
12697,와이아이케이(주),232140,Dec-15,117201,  기타금융업,,,,,,,,,
12702,와이엠씨(주),155650,Dec-12,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
12710,와이엠티(주),251370,Dec-17,32001,  화학물질 및 화학제품 제조업; 의약품 제외,,,,,,,,,
12713,와토스코리아(주),79000,Dec-11,32202,  고무 및 플라스틱제품 제조업,,,,,,,,,
12722,우리바이오(주),82850,Dec-11,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
12731,우리산업(주),215360,Dec-15,33003,  자동차 및 트레일러 제조업,,,,,,,,,
12736,우리산업홀딩스(주),72470,Dec-11,33003,  자동차 및 트레일러 제조업,,,,,,,,,
12745,우리손에프앤지농업회사법인(주),73560,Dec-16,10102,  농업,,,,,,,,,
12749,우리엔터프라이즈(주),37400,Dec-11,32804,  전기장비 제조업,,,,,,,,,
12758,우리이앤엘(주),153490,Dec-13,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
12765,우림피티에스(주),101170,Dec-11,32901,  기타 기계 및 장비 제조업,,,,,,,,,
12774,우수AMS(주),66590,Dec-11,33003,  자동차 및 트레일러 제조업,,,,,,,,,
12783,우원개발(주),46940,Dec-11,64201,  전문직별 공사업,,,,,,,,,
12792,우진비앤지(주),18620,Dec-11,32102,  의료용 물질 및 의약품 제조업,,,,,,,,,
12801,원텍(주),336570,Dec-19,117201,  기타금융업,,,,,,,,,
12802,원풍물산(주),8290,Dec-11,31401,"  의복, 의복 액세서리 및 모피제품 제조업",,,,,,,,,
12811,웰바이오텍(주),10600,Dec-11,74601,  도매 및 상품 중개업,,,,,,,,,
12820,웹케시(주),53580,Dec-19,105802,  출판업,,,,,,,,,
12821,위즈코프(주),38620,Dec-11,106201,"  컴퓨터 프로그래밍, 시스템 통합 및 관리업",,,,,,,,,
12830,윈텍(주),320000,Dec-19,117201,  기타금융업,,,,,,,,,
12831,윙입푸드홀딩스,900340,Dec-18,137105,  전문 서비스업,,,,,,,,,
12833,유네코(주),64510,Dec-18,32902,  기타 기계 및 장비 제조업,,,,,,,,,
12835,유니셈(주),36200,Dec-11,32902,  기타 기계 및 장비 제조업,,,,,,,,,
12844,유니슨(주),18000,Dec-11,32501,  금속가공제품 제조업; 기계 및 가구 제외,,,,,,,,,
12853,유니온머티리얼(주),47400,Dec-11,32302,  비금속 광물제품 제조업,,,,,,,,,
12862,유니퀘스트(주),77500,Dec-11,74605,  도매 및 상품 중개업,,,,,,,,,
12871,유비벨록스(주),89850,Dec-11,105802,  출판업,,,,,,,,,
12880,유성기업(주),2920,Dec-11,33003,  자동차 및 트레일러 제조업,,,,,,,,,
12889,유아이엘(주),49520,Dec-11,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
12898,유엔젤(주),72130,Dec-11,106301,  정보서비스업,,,,,,,,,
12907,유진기업(주),23410,Dec-11,32303,  비금속 광물제품 제조업,,,,,,,,,
12916,율촌화학(주),8730,Dec-11,32202,  고무 및 플라스틱제품 제조업,,,,,,,,,
12925,이건산업(주),8250,Dec-11,31602,  목재 및 나무제품 제조업; 가구 제외,,,,,,,,,
12934,이구산업(주),25820,Dec-11,32402,  1차 금속 제조업,,,,,,,,,
12943,이노시스(주),56090,Dec-15,32701,"  의료, 정밀, 광학기기 및 시계 제조업",,,,,,,,,
12948,이니텍(주),53350,Dec-11,105802,  출판업,,,,,,,,,
12957,이스트아시아홀딩스인베스트먼트리미티드,900110,Dec-11,137105,  전문 서비스업,,,,,,,,,
12966,이엠코리아(주),95190,Dec-11,32902,  기타 기계 및 장비 제조업,,,,,,,,,
12975,이연제약(주),102460,Dec-11,32102,  의료용 물질 및 의약품 제조업,,,,,,,,,
12984,이원다이애그노믹스(주),245620,Dec-18,137001,  연구개발업,,,,,,,,,
