회사,코드,년도,2011,2012,2013,2014,2015,2016,2017,2018,2019
(주)디엔오토모티브,7340,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,149394
(주)디엠에스,68790,      비유동금융부채(*)(IFRS)(천원),656202,28213,13084,0,0,0,0,0,132882
(주)디오,39840,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1018040,3936297
(주)디와이디,219550,      비유동금융부채(*)(IFRS)(천원),,,,,,,0,0,137418
(주)디이엔티,79810,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,193647
(주)디지아이,43360,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,0
(주)디지캡,197140,      비유동금융부채(*)(IFRS)(천원),,,,0,0,0,0,0,89543
(주)디지털대성,68930,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,2713306
(주)디지틀조선일보,33130,      비유동금융부채(*)(IFRS)(천원),263926,0,0,0,0,0,0,0,908283
(주)디케이앤디,263020,      비유동금융부채(*)(IFRS)(천원),,,,,470558,123781,94170,19200,411738
(주)디케이티,290550,      비유동금융부채(*)(IFRS)(천원),,,,,,0,10041974,0,125645
(주)디티앤씨,187220,      비유동금융부채(*)(IFRS)(천원),,,6864068,34827,103000,0,0,0,587270
(주)딜리,131180,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,56647
(주)딥노이드,315640,      비유동금융부채(*)(IFRS)(천원),,,,,,,,,8200668
(주)라닉스,317120,      비유동금융부채(*)(IFRS)(천원),,,,,,,,1973066,145410
(주)라온테크,232680,      비유동금융부채(*)(IFRS)(천원),,,,,,,,255170,479658
(주)라이온켐텍,171120,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,895487
(주)라이트론,69540,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,125775
(주)라이프시맨틱스,347700,      비유동금융부채(*)(IFRS)(천원),,,,,,,,4887255,5216114
(주)라파스,214260,      비유동금융부채(*)(IFRS)(천원),,,,,0,0,0,0,35245
(주)락앤락,115390,      비유동금융부채(*)(IFRS)(천원),0,0,0,10992000,0,0,494564,294878,22923836
(주)래몽래인,200350,      비유동금융부채(*)(IFRS)(천원),,,,,,1785823,2000086,1153784,13887
(주)랩지노믹스,84650,      비유동금융부채(*)(IFRS)(천원),,,960442,143499,43063,273551,76048,226493,1169898
(주)러셀,217500,      비유동금융부채(*)(IFRS)(천원),,,,,,,,0,54066
(주)레고켐바이오사이언스,141080,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,173994
(주)레드로버,60300,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,297414
(주)레드캡투어,38390,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,3816027
(주)레몬,294140,      비유동금융부채(*)(IFRS)(천원),,,,0,0,0,0,0,0
(주)레이,228670,      비유동금융부채(*)(IFRS)(천원),,,,,,0,0,0,1752955
(주)레이언스,228850,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,598386
(주)레이크머티리얼즈,281740,      비유동금융부채(*)(IFRS)(천원),,,,,,,,,
(주)레인보우로보틱스,277810,      비유동금융부채(*)(IFRS)(천원),,,,,,,25684,5000,12763
(주)로보로보,215100,      비유동금융부채(*)(IFRS)(천원),,,,,,,0,0,17728
(주)로보스타,90360,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,172723
(주)로보티즈,108490,      비유동금융부채(*)(IFRS)(천원),,0,0,0,0,0,0,0,12093
(주)로지시스,67730,      비유동금융부채(*)(IFRS)(천원),,,0,0,0,0,0,0,369586
(주)루닛,328130,      비유동금융부채(*)(IFRS)(천원),,,,,,,,,27846679
(주)루멘스,38060,      비유동금융부채(*)(IFRS)(천원),377896,393607,205756,287728,396486,465433,365088,296731,248916
(주)루트로닉,85370,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,0
(주)룽투코리아,60240,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,109924,0
(주)리노스,39980,      비유동금융부채(*)(IFRS)(천원),175000,0,0,160000,0,0,0,0,224851
(주)리더스코스메틱,16100,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,5756732
(주)리드,197210,      비유동금융부채(*)(IFRS)(천원),,,0,0,0,0,0,0,158813
(주)리드코프,12700,      비유동금융부채(*)(IFRS)(천원),615000,225476,106189,565800,350000,350000,0,0,263571
(주)리메드,302550,      비유동금융부채(*)(IFRS)(천원),,,,,,,,68380,124918
(주)리파인,377450,      비유동금융부채(*)(IFRS)(천원),,,,,,,,,
(주)링네트,42500,      비유동금융부채(*)(IFRS)(천원),57825,25784,0,0,0,0,0,0,198823
(주)링크제니시스,219420,      비유동금융부채(*)(IFRS)(천원),,,,,743364,0,0,0,71444
(주)마니커,27740,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,2728736,0,144982
