,회사,코드,년도,2011,2012,2013,2014,2015,2016,2017,2018,2019,2012년 감소율,2013년 감소율,2014년 감소율,2015년 감소율,2016년 감소율,2017년 감소율,2018년 감소율,2019년 감소율,2012년 감소율여부,2013년 감소율여부,2014년 감소율여부,2015년 감소율여부,2016년 감소율여부,2017년 감소율여부,2018년 감소율여부,2019년 감소율여부
94,(주)노바렉스,194700,      비유동금융부채(*)(IFRS)(천원),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1658006.0,,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
95,(주)노바텍,285490,      비유동금융부채(*)(IFRS)(천원),,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,(주)노블엠앤비,106520,      비유동금융부채(*)(IFRS)(천원),9309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3885462.0,100.0,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
97,(주)노터스,278650,      비유동금융부채(*)(IFRS)(천원),,,,,,2902459.0,8155522.0,8885238.0,291913.0,,,,,,-180.99,-8.95,96.71,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
98,(주)녹십자,6280,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,437000.0,96000.0,986362.0,5941938.0,5457000.0,5054000.0,59948333.0,,-inf,78.03,-927.46,-502.41,8.16,7.39,-1086.16,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
99,(주)녹십자엠에스,142280,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,1612270.0,2233087.0,0.0,0.0,5010049.0,,,,-inf,-38.51,100.0,,-inf,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
100,(주)녹십자웰빙,234690,      비유동금융부채(*)(IFRS)(천원),,,,,,0.0,0.0,0.0,7135970.0,,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
101,(주)녹십자홀딩스,5250,      비유동금융부채(*)(IFRS)(천원),188922.0,208304.0,52016.0,0.0,0.0,0.0,1816612.0,1267000.0,7108244.0,-10.26,75.03,100.0,,,-inf,30.25,-461.03,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
102,(주)녹원씨엔아이,65560,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,(주)농심,4370,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7030446.0,,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
104,(주)농심홀딩스,72710,      비유동금융부채(*)(IFRS)(천원),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29550.0,,,,,,,,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
