,거래소코드,회계년도,자산(*)(IFRS)(천원),자본(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),자본(*)(IFRS연결)(천원),자본율(연결),자본율
(주)광명전기,17040,16-Dec,"125,405","86,335","146,859","98,063",,
(주)광명전기,17040,17-Dec,"128,881","85,431","152,717","96,648",,
(주)광명전기,17040,18-Dec,"124,159","87,990","151,823","98,748",,
(주)광명전기,17040,19-Dec,"140,592","94,186","156,713","105,399",,
(주)광무,29480,10-Dec,"118,110","61,614","106,045","48,999",,
(주)광무,29480,11-Dec,"85,836","49,296","75,946","37,832",,
(주)광무,29480,12-Dec,"60,163","36,518","55,789","29,507",,
(주)광무,29480,13-Dec,"28,890","11,347","35,385","8,787",,
(주)광무,29480,14-Dec,"27,863","8,505",,,,
(주)광무,29480,15-Dec,"21,133","7,744",,,,
(주)광무,29480,16-Dec,"29,090","8,053",,,,
(주)광무,29480,17-Dec,"28,951","13,552",,,,
(주)광무,29480,18-Dec,"26,017","9,695","28,432","10,729",,
(주)광무,29480,19-Dec,"57,157","22,202","63,140","22,844",,
(주)광주신세계,37710,10-Dec,"327,434","260,460",,,,
(주)광주신세계,37710,11-Dec,"380,754","310,215",,,,
(주)광주신세계,37710,12-Dec,"430,663","361,616",,,,
(주)광주신세계,37710,13-Dec,"656,356","408,691",,,,
(주)광주신세계,37710,14-Dec,"652,759","448,625",,,,
(주)광주신세계,37710,15-Dec,"659,495","491,381",,,,
(주)광주신세계,37710,16-Dec,"655,503","534,290",,,,
(주)광주신세계,37710,17-Dec,"655,019","579,364",,,,
(주)광주신세계,37710,18-Dec,"696,205","620,657",,,,
(주)광주신세계,37710,19-Dec,"752,423","661,190",,,,
(주)구영테크,53270,10-Dec,"87,521","26,722","142,703","36,479",,
(주)구영테크,53270,11-Dec,"94,941","27,963","149,471","36,633",,
(주)구영테크,53270,12-Dec,"109,441","29,302","161,163","36,687",,
(주)구영테크,53270,13-Dec,"97,549","30,762","149,230","39,024",,
(주)구영테크,53270,14-Dec,"101,546","42,200","155,857","52,213",,
(주)구영테크,53270,15-Dec,"102,761","44,067","161,331","56,401",,
(주)구영테크,53270,16-Dec,"108,895","46,430","166,748","57,780",,
(주)구영테크,53270,17-Dec,"139,584","47,102","187,010","55,811",,
(주)구영테크,53270,18-Dec,"146,492","57,861","202,573","68,828",,
(주)구영테크,53270,19-Dec,"141,035","58,669","206,570","71,704",,
(주)국동,5320,10-Dec,"57,019","15,946","59,231","-3,728",,
(주)국동,5320,11-Dec,"42,292","2,694","68,162","5,830",,
(주)국동,5320,12-Dec,"35,813","2,775","65,808","9,423",,
(주)국동,5320,13-Dec,"40,195","5,948","73,041","15,412",,
(주)국동,5320,14-Dec,"53,393","14,337","89,271","28,639",,
(주)국동,5320,15-Dec,"66,242","22,395","93,759","31,226",,
(주)국동,5320,16-Dec,"86,117","40,070","124,127","51,726",,
(주)국동,5320,17-Dec,"75,154","38,639","106,307","42,631",,
(주)국동,5320,18-Dec,"80,728","41,762","123,135","48,475",,
(주)국동,5320,19-Dec,"96,856","54,350","133,724","65,481",,
(주)국보,1140,10-Dec,"95,420","34,416","96,640","34,910",,
(주)국보,1140,11-Dec,"97,415","33,874","98,869","34,467",,
(주)국보,1140,12-Dec,"93,953","31,656","98,495","33,793",,
(주)국보,1140,13-Dec,"94,916","27,679","98,315","29,768",,
(주)국보,1140,14-Dec,"87,598","20,985","91,006","22,620",,
(주)국보,1140,15-Dec,"80,159","17,113","83,085","18,409",,
(주)국보,1140,16-Dec,"77,488","13,201","81,309","15,276",,
(주)국보,1140,17-Dec,"69,819","16,039","73,270","17,849",,
(주)국보,1140,18-Dec,"45,599","11,578","48,188","13,412",,
(주)국보,1140,19-Dec,"57,467","12,279","115,356","28,604",,
(주)국보디자인,66620,10-Dec,"74,400","42,593","78,615","43,011",,
(주)국보디자인,66620,11-Dec,"79,203","48,472","80,201","48,144",,
(주)국보디자인,66620,12-Dec,"92,873","58,283","92,878","57,565",,
(주)국보디자인,66620,13-Dec,"121,964","64,946","127,902","65,598",,
(주)국보디자인,66620,14-Dec,"125,686","70,452","132,012","74,351",,
(주)국보디자인,66620,15-Dec,"129,038","75,467","141,090","83,307",,
(주)국보디자인,66620,16-Dec,"150,831","80,282","158,452","86,929",,
(주)국보디자인,66620,17-Dec,"158,318","94,381","164,382","99,284",,
(주)국보디자인,66620,18-Dec,"161,751","103,599","175,037","108,600",,
(주)국보디자인,66620,19-Dec,"197,762","112,076","222,515","123,364",,
(주)국순당,43650,10-Dec,"194,683","172,746","200,863","177,069",,
(주)국순당,43650,11-Dec,"193,849","174,045","199,135","178,114",,
(주)국순당,43650,12-Dec,"203,490","186,306","209,730","191,626",,
(주)국순당,43650,13-Dec,"203,200","185,986","218,115","194,568",,
(주)국순당,43650,14-Dec,"205,783","186,838","217,480","196,811",,
(주)국순당,43650,15-Dec,"203,528","186,118","216,588","198,167",,
(주)국순당,43650,16-Dec,"200,077","183,189","213,005","194,019",,
(주)국순당,43650,17-Dec,"208,832","191,746","242,200","221,539",,
(주)국순당,43650,18-Dec,"221,230","203,500","238,619","215,680",,
(주)국순당,43650,19-Dec,"210,007","196,924","252,484","204,959",,
(주)국영지앤엠,6050,10-Dec,"46,688","34,971",,,,
(주)국영지앤엠,6050,11-Dec,"61,023","32,733",,,,
(주)국영지앤엠,6050,12-Dec,"60,198","45,960",,,,
(주)국영지앤엠,6050,13-Dec,"63,108","46,345",,,,
(주)국영지앤엠,6050,14-Dec,"58,996","47,241",,,,
(주)국영지앤엠,6050,15-Dec,"63,713","48,973",,,,
(주)국영지앤엠,6050,16-Dec,"65,671","50,558",,,,
(주)국영지앤엠,6050,17-Dec,"66,101","52,612",,,,
(주)국영지앤엠,6050,18-Dec,"60,335","51,748",,,,
(주)국영지앤엠,6050,19-Dec,"68,657","52,826",,,,
(주)국전약품,307750,18-Dec,,,,,,
(주)국전약품,307750,19-Dec,,,,,,
(주)그래디언트,35080,10-Dec,"369,458","364,538","538,993","364,059",,
(주)그래디언트,35080,11-Dec,"521,750","334,574","777,654","328,872",,
(주)그래디언트,35080,12-Dec,"482,182","411,657","739,985","396,658",,
(주)그래디언트,35080,13-Dec,"473,264","402,332","1,598,504","751,940",,
(주)그래디언트,35080,14-Dec,"455,860","420,045","1,920,351","900,343",,
(주)그래디언트,35080,15-Dec,"475,793","431,479","2,106,702","903,809",,
(주)그래디언트,35080,16-Dec,"404,583","389,296","2,073,537","840,331",,
(주)그래디언트,35080,17-Dec,"344,023","328,720","1,804,533","742,317",,
(주)그래디언트,35080,18-Dec,"339,457","325,218","1,809,664","714,481",,
(주)그래디언트,35080,19-Dec,"336,146","320,088","1,780,052","669,587",,
(주)그리티,204020,10-Dec,,,,,,
(주)그리티,204020,11-Dec,,,,,,
(주)그리티,204020,12-Dec,,,,,,
(주)그리티,204020,13-Dec,,,,,,
(주)그리티,204020,14-Dec,"45,694","39,832","51,545","40,937",,
(주)그리티,204020,15-Dec,"49,393","43,878","55,746","45,516",,
(주)그리티,204020,16-Dec,"55,731","47,664","64,735","49,389",,
(주)그리티,204020,17-Dec,"62,494","54,456","73,263","56,070",,
(주)그리티,204020,18-Dec,"86,557","74,051","95,755","74,461",,
(주)그리티,204020,19-Dec,"86,804","74,834","92,152","74,181",,
(주)그린플러스,186230,10-Dec,,,,,,
(주)그린플러스,186230,11-Dec,,,,,,
(주)그린플러스,186230,12-Dec,,,,,,
(주)그린플러스,186230,13-Dec,,,,,,
(주)그린플러스,186230,14-Dec,,,,,,
(주)그린플러스,186230,15-Dec,,,,,,
(주)그린플러스,186230,16-Dec,,,,,,
(주)그린플러스,186230,17-Dec,,,,,,
(주)그린플러스,186230,18-Dec,"48,675","23,476","63,717","23,996",,
(주)그린플러스,186230,19-Dec,"56,588","36,773","72,322","37,391",,
(주)글로벌스탠다드테크놀로지,83450,10-Dec,"35,829","23,746","37,146","23,809",,
(주)글로벌스탠다드테크놀로지,83450,11-Dec,"49,715","26,355","52,575","27,595",,
(주)글로벌스탠다드테크놀로지,83450,12-Dec,"49,051","33,379","53,825","36,008",,
(주)글로벌스탠다드테크놀로지,83450,13-Dec,"57,053","39,170","62,627","42,630",,
