,회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),자본(*)(IFRS)(천원),자산(*)(IFRS)(천원)(연결),자본(*)(IFRS)(천원)(연결),자본율(연결),자본율
521,(주)대유에이텍,2880,10-Dec,"180,505","53,120","203,384","54,364",29.43,691111.24
522,(주)대유에이텍,2880,11-Dec,"246,557","64,765","362,525","74,916",20.67,20.67
523,(주)대유에이텍,2880,12-Dec,"277,360","88,467","385,721","98,331",25.49,25.49
524,(주)대유에이텍,2880,13-Dec,"336,455","90,551","438,652","103,554",23.61,23.61
525,(주)대유에이텍,2880,14-Dec,"377,532","95,014","749,322","123,168",16.44,16.44
526,(주)대유에이텍,2880,15-Dec,"326,470","114,857","754,879","146,086",19.35,19.35
527,(주)대유에이텍,2880,16-Dec,"349,203","118,550","838,063","195,302",23.3,23.3
528,(주)대유에이텍,2880,17-Dec,"359,200","120,111","882,600","201,083",22.78,22.78
529,(주)대유에이텍,2880,18-Dec,"370,893","93,825","889,581","170,337",19.15,19.15
530,(주)대유에이텍,2880,19-Dec,"405,334","108,434","1,117,314","236,049",21.13,21.13
531,(주)대유플러스,300,10-Dec,"190,359","71,008","454,916","72,718",37.3,1219543.64
532,(주)대유플러스,300,11-Dec,"250,263","85,844","605,360","90,783",15,15
533,(주)대유플러스,300,12-Dec,"243,423","100,675","609,385","101,199",16.61,16.61
