,회사명,회계년도,거래소코드,매출원가율
574,대창솔루션,12-Dec,96350,0.91 
575,대창솔루션,13-Dec,96350,0.93 
576,대창솔루션,14-Dec,96350,0.97 
577,대창솔루션,15-Dec,96350,0.88 
578,대창솔루션,16-Dec,96350,0.99 
579,대창솔루션,17-Dec,96350,1.02 
580,대창솔루션,18-Dec,96350,1.01 
581,대창솔루션,19-Dec,96350,0.88 
582,대창스틸,14-Dec,140520,0.94 
583,대창스틸,15-Dec,140520,0.95 
584,대창스틸,16-Dec,140520,0.95 
585,대창스틸,17-Dec,140520,0.95 
586,대창스틸,18-Dec,140520,0.95 
587,대창스틸,19-Dec,140520,0.94 
588,대한과학,11-Dec,131220,1.00 
589,대한과학,12-Dec,131220,0.75 
590,대한과학,13-Dec,131220,0.73 
591,대한과학,14-Dec,131220,0.74 
592,대한과학,15-Dec,131220,0.75 
593,대한과학,16-Dec,131220,0.75 
594,대한과학,17-Dec,131220,0.71 
595,대한과학,18-Dec,131220,0.73 
596,대한과학,19-Dec,131220,0.75 
597,대한항공,11-Dec,3490,0.86 
598,대한항공,12-Dec,3490,0.88 
599,대한항공,13-Dec,3490,0.91 
600,대한항공,14-Dec,3490,0.87 
601,대한항공,15-Dec,3490,0.82 
602,대한항공,16-Dec,3490,0.80 
603,대한항공,17-Dec,3490,0.83 
604,대한항공,18-Dec,3490,0.85 
605,대한항공,19-Dec,3490,0.88 
606,대호에이엘,11-Dec,69460,0.90 
607,대호에이엘,12-Dec,69460,0.92 
608,대호에이엘,13-Dec,69460,0.93 
609,대호에이엘,14-Dec,69460,1.00 
610,대호에이엘,15-Dec,69460,1.00 
611,대호에이엘,16-Dec,69460,1.00 
612,대호에이엘,17-Dec,69460,1.00 
613,대호에이엘,18-Dec,69460,1.00 
614,대호에이엘,19-Dec,69460,1.00 
615,대호특수강,11-Dec,21040,1.00 
616,대호특수강,12-Dec,21040,1.00 
