,구분,2011년.mid,2012년.mid,2013년.mid,2014년.mid,2015년.mid,2016년.mid,2017년.mid,2018년.mid,2019년.mid
147,디에스앤엘,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
148,디에이피,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
149,디지아이,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
150,디케이티,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
151,딜리,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
152,라닉스,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
153,라이트론,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
154,레드로버,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
155,루멘스,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
156,머큐리,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
157,멜파스,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
158,모다이노칩,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
159,모베이스,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
160,모아텍,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
161,미래아이앤지,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
162,미코,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
163,바른전자,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
164,바이오스마트,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
165,브이티지엠피,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
166,블루콤,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
167,비덴트,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
168,비보존헬스케어,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
169,비에이치,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
170,비엔지티,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
171,비케이홀딩스,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
172,빅솔론,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
173,삼진,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
174,삼진엘앤디,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
175,상보,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
176,상상인,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
177,상아프론테크,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
178,새로닉스,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
179,서울리거,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
180,서원인텍,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
181,서진시스템,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
182,선익시스템,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
183,세경하이테크,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
184,세진티에스,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
185,셀피글로벌,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
186,소프트센,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
187,솔루에타,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
188,슈프리마,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
189,슈프리마아이디,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
190,슈프리마에이치큐,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
191,스카이문스테크놀로지,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
192,시너지이노베이션,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
193,시노펙스,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
194,신도리코,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
195,신성이엔지,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
196,심텍,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
197,심텍홀딩스,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
198,쏠리드,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
199,씨에스,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
200,아나패스,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
201,아리온테크놀로지,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
202,아모그린텍,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
203,아모텍,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
204,아미노로직스,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
205,아바텍,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
206,아센디오,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
207,아이디스,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
208,아이디스홀딩스,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
209,아이앤씨테크놀로지,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
210,아이에스시,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
211,아이에이,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
212,아이윈플러스,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
213,아이컴포넌트,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
214,아이티엑스에이아이,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
215,아이티엠반도체,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
216,아진엑스텍,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
217,알에프세미,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
218,알에프텍,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
219,알엔투테크놀로지,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
220,알파홀딩스,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
221,앤씨앤,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
222,에스디시스템,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
223,에스앤에스텍,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
224,에스에프에이반도체,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
225,에스엘바이오닉스,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
226,에이디테크놀로지,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
227,에이루트,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
228,에이스테크놀로지,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
229,에이엔피,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
230,에이텍,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
231,에이텍티앤,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
232,에이프로젠헬스케어앤게임즈,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
233,에프알텍,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
234,에프앤리퍼블릭,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
235,엑사이엔씨,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
236,엘디티,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
237,엘앤에프,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
238,엘엑스세미콘,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
239,엠씨넥스,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
240,연이비앤티,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
241,오디텍,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
242,오이솔루션,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
243,오킨스전자,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
244,와이솔,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
245,와이제이엠게임즈,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
246,와이투솔루션,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
247,우리넷,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
248,우리로,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
249,우일렉트로닉스,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
250,월덱스,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
251,웨이브일렉트로닉스,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
252,윈팩,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
253,유니온커뮤니티,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
254,유비쿼스,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
255,유비쿼스홀딩스,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
256,유씨아이,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
257,유아이디,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
258,유테크,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
259,유티아이,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
260,육일씨엔에쓰,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
261,이노와이어리스,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
262,이녹스,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
263,이녹스첨단소재,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
264,이라이콤,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
265,이랜텍,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
266,이미지스테크놀로지,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
267,이브이첨단소재,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
268,이수페타시스,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
269,이아이디,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
270,이엔코퍼레이션,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
271,이엠앤아이,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
272,이엠텍,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
273,인지디스플레이,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
274,인콘,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
275,인터엠,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
276,인터플렉스,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
277,인텔리안테크놀로지스,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
278,인포마크,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
279,일야,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
280,장원테크,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
281,제넨바이오,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
282,제반도체,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
283,연테크,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
284,중앙디앤엠,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
285,캠시스,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
286,케스피온,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
287,케이에이치바텍,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
288,케이에이치필룩스,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
289,케이엠더블유,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
290,케이이씨,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
291,켐트로닉스,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
292,코리아써키트,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
293,코맥스,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
294,코스나인,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
295,코스온,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
296,코원플레이,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
297,코콤,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
298,코텍,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
299,큐에스아이,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
300,클라우드에어,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
301,타이거일렉,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
302,탑코미디어,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
303,텔레칩스,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
304,텔레필드,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
305,텔콘알에프제약,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
