회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),매출원가율
(주)국보,1140,18-Dec,71549828,67935985,
(주)국보,1140,19-Dec,89087334,71346937,
(주)국보디자인,66620,10-Dec,117346477,98678532,
(주)국보디자인,66620,11-Dec,130689686,110146120,
(주)국보디자인,66620,12-Dec,119402993,100272273,
(주)국보디자인,66620,13-Dec,163518536,141528744,
(주)국보디자인,66620,14-Dec,176373907,150086662,
(주)국보디자인,66620,15-Dec,192608497,167038905,
(주)국보디자인,66620,16-Dec,201410031,176586073,
(주)국보디자인,66620,17-Dec,270658405,224690293,
(주)국보디자인,66620,18-Dec,254259835,216708444,
(주)국보디자인,66620,19-Dec,269005976,236763672,
(주)국순당,43650,10-Dec,116933694,57728627,
(주)국순당,43650,11-Dec,127686247,73054530,
(주)국순당,43650,12-Dec,118697826,65490982,
(주)국순당,43650,13-Dec,99173525,57173733,
(주)국순당,43650,14-Dec,91863604,55688500,
(주)국순당,43650,15-Dec,77443124,50017004,
(주)국순당,43650,16-Dec,69701266,42026522,
(주)국순당,43650,17-Dec,62761236,38986795,
(주)국순당,43650,18-Dec,61496072,38750320,
(주)국순당,43650,19-Dec,102095769,73665131,
(주)국영지앤엠,6050,10-Dec,,,
(주)국영지앤엠,6050,11-Dec,,,
(주)국영지앤엠,6050,12-Dec,,,
(주)국영지앤엠,6050,13-Dec,,,
(주)국영지앤엠,6050,14-Dec,,,
(주)국영지앤엠,6050,15-Dec,,,
(주)국영지앤엠,6050,16-Dec,,,
(주)국영지앤엠,6050,17-Dec,,,
(주)국영지앤엠,6050,18-Dec,,,
(주)국영지앤엠,6050,19-Dec,,,
(주)국전약품,307750,18-Dec,,,
(주)국전약품,307750,19-Dec,,,
(주)그래디언트,35080,10-Dec,448995193,293192695,
(주)그래디언트,35080,11-Dec,428571939,282364606,
(주)그래디언트,35080,12-Dec,454225001,299062441,
(주)그래디언트,35080,13-Dec,2930521926,2623897237,
(주)그래디언트,35080,14-Dec,3135027346,2828895725,
(주)그래디언트,35080,15-Dec,3536848758,3149191043,
(주)그래디언트,35080,16-Dec,3845761388,3422959059,
(주)그래디언트,35080,17-Dec,3541486629,3155796412,
(주)그래디언트,35080,18-Dec,3440906300,3085740379,
(주)그래디언트,35080,19-Dec,3412333826,3033401434,
(주)그리티,204020,18-Dec,119259702,49005066,
(주)그리티,204020,19-Dec,123079831,56407950,
(주)그린플러스,186230,19-Dec,48831866,39379899,
(주)글로벌스탠다드테크놀로지,83450,10-Dec,46413211,27915601,
(주)글로벌스탠다드테크놀로지,83450,11-Dec,41504144,25904818,
(주)글로벌스탠다드테크놀로지,83450,12-Dec,64812103,39987385,
(주)글로벌스탠다드테크놀로지,83450,13-Dec,80982977,54728168,
(주)글로벌스탠다드테크놀로지,83450,14-Dec,89122994,60458294,
(주)글로벌스탠다드테크놀로지,83450,15-Dec,84422579,53943632,
(주)글로벌스탠다드테크놀로지,83450,16-Dec,90819412,57475833,
(주)글로벌스탠다드테크놀로지,83450,17-Dec,162835484,106768667,
(주)글로벌스탠다드테크놀로지,83450,18-Dec,129850197,86354595,
(주)글로벌스탠다드테크놀로지,83450,19-Dec,168231754,101887447,
(주)금비,8870,10-Sep,,,
(주)금비,8870,11-Sep,182184368,140978607,
(주)금비,8870,12-Sep,176226095,139613667,
(주)금비,8870,13-Sep,175061513,140973207,
(주)금비,8870,14-Sep,177506459,143669634,
(주)금비,8870,15-Sep,189495056,145599764,
(주)금비,8870,16-Sep,200543667,154437741,
(주)금비,8870,17-Sep,185531452,142510120,
(주)금비,8870,18-Sep,196995589,153041065,
(주)금비,8870,19-Sep,201404468,157515543,
(주)금양,1570,10-Dec,102718517,86772404,
(주)금양,1570,11-Dec,109810009,92297702,
(주)금양,1570,12-Dec,122905331,102473314,
(주)금양,1570,13-Dec,156304448,135822559,
(주)금양,1570,14-Dec,158550531,138461108,
(주)금양,1570,15-Dec,158999533,136083219,
(주)금양,1570,16-Dec,168681746,137529479,
(주)금양,1570,17-Dec,180373683,144907191,
(주)금양,1570,18-Dec,205441375,165009911,
(주)금양,1570,19-Dec,172723864,136904841,
(주)금호에이치티,214330,15-Dec,203071984,171095297,
(주)금호에이치티,214330,16-Dec,208574892,184573472,
(주)금호에이치티,214330,17-Dec,179707629,161231384,
(주)금호에이치티,214330,18-Dec,209260006,188087059,
(주)금호에이치티,214330,19-Dec,251095062,236522956,
(주)금화피에스시,36190,10-Dec,,,
(주)금화피에스시,36190,11-Dec,,,
(주)금화피에스시,36190,12-Dec,,,
(주)금화피에스시,36190,13-Dec,166122419,130836677,
(주)금화피에스시,36190,14-Dec,189631759,155745728,
(주)금화피에스시,36190,15-Dec,235969690,196313554,
(주)금화피에스시,36190,16-Dec,235018376,194713192,
(주)금화피에스시,36190,17-Dec,205781841,163075930,
(주)금화피에스시,36190,18-Dec,233326733,182097574,
(주)금화피에스시,36190,19-Dec,209435314,165793394,
(주)기가레인,49080,13-Dec,94791934,74583953,
(주)기가레인,49080,14-Dec,95718992,77942438,
(주)기가레인,49080,15-Dec,61576391,72269409,
(주)기가레인,49080,16-Dec,75445071,74497864,
(주)기가레인,49080,17-Dec,100131227,82715768,
(주)기가레인,49080,18-Dec,124772205,106042765,
(주)기가레인,49080,19-Dec,72769411,85455615,
(주)기산텔레콤,35460,10-Dec,103705410,82488070,
(주)기산텔레콤,35460,11-Dec,65679195,58538412,
(주)기산텔레콤,35460,12-Dec,74315907,61032255,
(주)기산텔레콤,35460,13-Dec,79463728,62249172,
(주)기산텔레콤,35460,14-Dec,74512326,59256394,
(주)기산텔레콤,35460,15-Dec,79710503,66205739,
(주)기산텔레콤,35460,16-Dec,59172319,49418392,
(주)기산텔레콤,35460,17-Dec,63467585,54370843,
(주)기산텔레콤,35460,18-Dec,56445716,47301809,
(주)기산텔레콤,35460,19-Dec,67054955,52668790,
(주)까뮤이앤씨,13700,10-Dec,,,
(주)까뮤이앤씨,13700,11-Dec,,,
(주)까뮤이앤씨,13700,12-Dec,,,
(주)까뮤이앤씨,13700,13-Dec,,,
(주)까뮤이앤씨,13700,14-Dec,,,
(주)까뮤이앤씨,13700,15-Dec,,,
(주)까뮤이앤씨,13700,16-Dec,,,
(주)까뮤이앤씨,13700,17-Dec,,,
(주)까뮤이앤씨,13700,18-Dec,,,
(주)까뮤이앤씨,13700,19-Dec,,,
(주)까스텔바작,308100,19-Dec,81358617,31238794,
(주)나노,187790,14-Dec,,,
(주)나노,187790,15-Dec,29901810,29883383,
(주)나노,187790,16-Dec,48175171,50037070,
(주)나노,187790,17-Dec,73089292,62721642,
(주)나노,187790,18-Dec,81942719,71007597,
(주)나노,187790,19-Dec,73694955,66484746,
(주)나노브릭,286750,19-Dec,7775408,5874843,
(주)나노신소재,121600,11-Dec,33480756,18805669,
(주)나노신소재,121600,12-Dec,23644347,16429605,
(주)나노신소재,121600,13-Dec,27009014,17289076,
(주)나노신소재,121600,14-Dec,27926752,15558382,
(주)나노신소재,121600,15-Dec,43140425,23332424,
(주)나노신소재,121600,16-Dec,41111800,23265866,
(주)나노신소재,121600,17-Dec,45568866,24870265,
(주)나노신소재,121600,18-Dec,52249960,29703093,
(주)나노신소재,121600,19-Dec,48892961,29575322,
(주)나노엔텍,39860,10-Dec,15154917,12383141,
(주)나노엔텍,39860,11-Dec,13153879,12411365,
(주)나노엔텍,39860,12-Dec,13435035,12287381,
(주)나노엔텍,39860,13-Dec,19084457,13907414,
(주)나노엔텍,39860,14-Dec,19498657,14039930,
(주)나노엔텍,39860,15-Dec,24839316,18756946,
(주)나노엔텍,39860,16-Dec,22205895,17415702,
(주)나노엔텍,39860,17-Dec,23809593,13425040,
(주)나노엔텍,39860,18-Dec,25796821,14597686,
(주)나노엔텍,39860,19-Dec,26255836,13549213,
(주)나무가,190510,15-Dec,403847036,354633593,
(주)나무가,190510,16-Dec,292613003,275809267,
(주)나무가,190510,17-Dec,257564977,269861442,
(주)나무가,190510,18-Dec,312824892,294278543,
(주)나무가,190510,19-Dec,362063863,341733797,
(주)나스미디어,89600,13-Dec,,,
(주)나스미디어,89600,14-Dec,,,
(주)나스미디어,89600,15-Dec,,,
(주)나스미디어,89600,16-Dec,69943009,0,
(주)나스미디어,89600,17-Dec,120275391,0,
(주)나스미디어,89600,18-Dec,106607030,0,
(주)나스미디어,89600,19-Dec,117006838,0,
(주)나이벡,138610,11-Dec,,,
(주)나이벡,138610,12-Dec,,,
(주)나이벡,138610,13-Dec,,,
