,회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),매출원가율,매출원가율_,매출원가감소율,산업명
162,(주)경동인베스트,12320,12-Dec,2502642394,2381579037,0.95,0.94,1.052631579,"  전기, 가스, 증기 및 공기조절 공급업"
163,(주)경동인베스트,12320,13-Dec,2788264380,2659198011,0.95,0.95,0,"  전기, 가스, 증기 및 공기조절 공급업"
164,(주)경동인베스트,12320,14-Dec,2603059058,2470957525,0.95,0.95,0,"  전기, 가스, 증기 및 공기조절 공급업"
165,(주)경동인베스트,12320,15-Dec,1604168482,1520436435,0.95,0.95,0,"  전기, 가스, 증기 및 공기조절 공급업"
166,(주)경동인베스트,12320,16-Dec,1181902637,1064804018,0.9,0.95,-5.555555556,"  전기, 가스, 증기 및 공기조절 공급업"
167,(주)경동인베스트,12320,17-Dec,195069859,140724518,0.72,0.9,-25,"  전기, 가스, 증기 및 공기조절 공급업"
168,(주)경동인베스트,12320,18-Dec,228644016,171130400,0.75,0.72,4,"  전기, 가스, 증기 및 공기조절 공급업"
169,(주)경동인베스트,12320,19-Dec,271765025,223338232,0.82,0.75,8.536585366,"  전기, 가스, 증기 및 공기조절 공급업"
170,(주)경방,50,11-Dec,348136369,258814443,0.74,0.69,6.756756757,  섬유제품 제조업; 의복제외
171,(주)경방,50,12-Dec,333620804,260837041,0.78,0.74,5.128205128,  섬유제품 제조업; 의복제외
172,(주)경방,50,13-Dec,347189559,251468225,0.72,0.78,-8.333333333,  섬유제품 제조업; 의복제외
173,(주)경방,50,14-Dec,329036023,238357806,0.72,0.72,0,  섬유제품 제조업; 의복제외
174,(주)경방,50,15-Dec,357628146,255868653,0.72,0.72,0,  섬유제품 제조업; 의복제외
175,(주)경방,50,16-Dec,377445013,268352680,0.71,0.72,-1.408450704,  섬유제품 제조업; 의복제외
176,(주)경방,50,17-Dec,360788750,253442168,0.7,0.71,-1.428571429,  섬유제품 제조업; 의복제외
177,(주)경방,50,18-Dec,351438926,244043108,0.69,0.7,-1.449275362,  섬유제품 제조업; 의복제외
178,(주)경방,50,19-Dec,343892085,244396020,0.71,0.69,2.816901408,  섬유제품 제조업; 의복제외
179,(주)경보제약,214390,15-Dec,,,,,,  의료용 물질 및 의약품 제조업
180,(주)경보제약,214390,16-Dec,,,,,,  의료용 물질 및 의약품 제조업
181,(주)경보제약,214390,17-Dec,,,,,,  의료용 물질 및 의약품 제조업
182,(주)경보제약,214390,18-Dec,,,,,,  의료용 물질 및 의약품 제조업
183,(주)경보제약,214390,19-Dec,,,,,,  의료용 물질 및 의약품 제조업
184,(주)경인양행,12610,11-Dec,233095049,198818643,0.85,0.85,0,  화학물질 및 화학제품 제조업; 의약품 제외
185,(주)경인양행,12610,12-Dec,218604655,190167857,0.87,0.85,2.298850575,  화학물질 및 화학제품 제조업; 의약품 제외
186,(주)경인양행,12610,13-Dec,260808400,217483383,0.83,0.87,-4.819277108,  화학물질 및 화학제품 제조업; 의약품 제외
187,(주)경인양행,12610,14-Dec,277181095,228191361,0.82,0.83,-1.219512195,  화학물질 및 화학제품 제조업; 의약품 제외
