,회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),매출원가율,매출원가율_,매출원가감소율
206,(주)경인양행,12610,13-Dec,260808400,217483383,0.83,0.87,-4.819277108
207,(주)경인양행,12610,14-Dec,277181095,228191361,0.82,0.83,-1.219512195
208,(주)경인양행,12610,15-Dec,263163677,220123025,0.84,0.82,2.380952381
209,(주)경인양행,12610,16-Dec,274873817,228042128,0.83,0.84,-1.204819277
210,(주)경인양행,12610,17-Dec,299987729,252841704,0.84,0.83,1.19047619
211,(주)경인양행,12610,18-Dec,331102011,255365574,0.77,0.84,-9.090909091
212,(주)경인양행,12610,19-Dec,358802386,274054354,0.76,0.77,-1.315789474
213,(주)고려시멘트,198440,14-Dec,,,,,
214,(주)고려시멘트,198440,15-Dec,,,,,
215,(주)고려시멘트,198440,16-Dec,,,,,
216,(주)고려시멘트,198440,17-Dec,,,,,
217,(주)고려시멘트,198440,18-Dec,,,,,
218,(주)고려시멘트,198440,19-Dec,,,,,
220,(주)고영테크놀러지,98460,11-Dec,86130810,36970902,0.43,0.41,4.651162791
221,(주)고영테크놀러지,98460,12-Dec,107841666,46349851,0.43,0.43,0
222,(주)고영테크놀러지,98460,13-Dec,111902729,49977494,0.45,0.43,4.444444444
223,(주)고영테크놀러지,98460,14-Dec,142840131,60262407,0.42,0.45,-7.142857143
224,(주)고영테크놀러지,98460,15-Dec,145904431,56896177,0.39,0.42,-7.692307692
225,(주)고영테크놀러지,98460,16-Dec,171793841,63856136,0.37,0.39,-5.405405405
226,(주)고영테크놀러지,98460,17-Dec,203368626,71899522,0.35,0.37,-5.714285714
227,(주)고영테크놀러지,98460,18-Dec,238208865,89336707,0.38,0.35,7.894736842
228,(주)고영테크놀러지,98460,19-Dec,222057035,80865005,0.36,0.38,-5.555555556
230,(주)골드앤에스,35290,11-Dec,47522791,32544786,0.68,0.71,-4.411764706
231,(주)골드앤에스,35290,12-Dec,43889087,31012456,0.71,0.68,4.225352113
232,(주)골드앤에스,35290,13-Dec,39548810,28127986,0.71,0.71,0
