,회사명,회계년도,거래소코드_x,매출원가율,매출원가감소율,산업중간값,산업중간값여부,감소율여부,매출원가감소율여부
173,감성코퍼레이션,17-Dec,36620,1,0,82.45,0,0,0
174,감성코퍼레이션,18-Dec,36620,0.91,0,83.32,0,0,0
175,감성코퍼레이션,19-Dec,36620,0.82,-10.97560976,83.47,0,0,0
176,강남제비스코,11-Dec,860,0.87,1.149425287,77.91,0,0,0
177,강남제비스코,12-Dec,860,0.86,-1.162790698,80.41,0,0,0
178,강남제비스코,13-Dec,860,0.84,-2.380952381,80.36,0,0,0
179,강남제비스코,14-Dec,860,0.84,0,79.71,0,0,0
180,강남제비스코,15-Dec,860,0.81,-3.703703704,77.5,0,0,0
181,강남제비스코,16-Dec,860,0.8,-1.25,77.25,0,0,0
182,강남제비스코,17-Dec,860,0.84,4.761904762,78.45,0,0,0
183,강남제비스코,18-Dec,860,0.88,4.545454545,81.48,0,0,0
184,강남제비스코,19-Dec,860,0.88,0,79.49,0,0,0
185,강스템바이오텍,15-Dec,217730,1,0,0.0,1,0,1
186,강스템바이오텍,16-Dec,217730,1,0,3.42,0,0,0
187,강스템바이오텍,17-Dec,217730,0.64,0,27.81,0,0,0
188,강스템바이오텍,18-Dec,217730,0.87,26.43678161,50.99,0,0,0
189,강스템바이오텍,19-Dec,217730,1.07,18.69158879,50.43,0,0,0
190,강원에너지,12-Dec,114190,1,0,82.3,0,0,0
191,강원에너지,13-Dec,114190,1,0,81.985,0,0,0
192,강원에너지,14-Dec,114190,1,0,81.55,0,0,0
193,강원에너지,15-Dec,114190,0.83,0,81.985,0,0,0
194,강원에너지,16-Dec,114190,0.83,0,83.13,0,0,0
195,강원에너지,17-Dec,114190,0.99,16.16161616,82.425,0,0,0
196,강원에너지,18-Dec,114190,0.93,-6.451612903,84.185,0,0,0
197,강원에너지,19-Dec,114190,1.14,18.42105263,84.755,0,0,0
198,갤럭시아에스엠,11-Dec,11420,0.82,-2.43902439,67.98,0,0,0
199,갤럭시아에스엠,12-Dec,11420,0.86,4.651162791,72.14,0,0,0
200,갤럭시아에스엠,13-Dec,11420,0.9,4.444444444,62.29,0,0,0
201,갤럭시아에스엠,14-Dec,11420,0.92,2.173913043,66.33,0,0,0
202,갤럭시아에스엠,15-Dec,11420,0.9,-2.222222222,69.36,0,0,0
203,갤럭시아에스엠,16-Dec,11420,0.98,8.163265306,72.25,0,0,0
204,갤럭시아에스엠,17-Dec,11420,1,2,70.8,0,0,0
205,갤럭시아에스엠,18-Dec,11420,1.24,19.35483871,70.51,0,0,0
206,갤럭시아에스엠,19-Dec,11420,0.94,-31.91489362,58.36,0,1,1
207,경남제약,11-Dec,53950,1,0,41.73,0,0,0
208,경남제약,12-Dec,53950,1,0,41.84,0,0,0
209,경남제약,13-Dec,53950,1,0,43.25,0,0,0
210,경남제약,14-Dec,53950,1,0,44.93,0,0,0
211,경남제약,15-Dec,53950,1,0,48.21,0,0,0
212,경남제약,16-Dec,53950,1,0,52.51,0,0,0
213,경남제약,17-Dec,53950,1,0,52.32,0,0,0
214,경남제약,18-Dec,53950,0.6,0,54.69,0,0,0
215,경남제약,19-Dec,53950,0.62,3.225806452,57.6,0,0,0
216,경동인베스트,11-Dec,12320,0.94,2.127659574,91.06,0,0,0
217,경동인베스트,12-Dec,12320,0.95,1.052631579,91.5,0,0,0
218,경동인베스트,13-Dec,12320,0.95,0,92.2,0,0,0
219,경동인베스트,14-Dec,12320,0.95,0,91.89,0,0,0
220,경동인베스트,15-Dec,12320,0.95,0,89.76,0,0,0
221,경동인베스트,16-Dec,12320,0.9,-5.555555556,87.27,0,0,0
222,경동인베스트,17-Dec,12320,0.72,-25,87.11,0,1,1
223,경동인베스트,18-Dec,12320,0.75,4,87.65,0,0,0
224,경동인베스트,19-Dec,12320,0.82,8.536585366,86.35,0,0,0
225,경방,11-Dec,50,0.74,6.756756757,89.195,0,0,0
226,경방,12-Dec,50,0.78,5.128205128,90.545,0,0,0
227,경방,13-Dec,50,0.72,-8.333333333,88.935,0,0,0
228,경방,14-Dec,50,0.72,0,89.09,0,0,0
229,경방,15-Dec,50,0.72,0,88.755,0,0,0
230,경방,16-Dec,50,0.71,-1.408450704,87.06,0,0,0
231,경방,17-Dec,50,0.7,-1.428571429,91.84,0,0,0
232,경방,18-Dec,50,0.69,-1.449275362,92.455,0,0,0
233,경방,19-Dec,50,0.71,2.816901408,90.715,0,0,0
234,경인전자,11-Dec,9140,0.84,3.571428571,78.63,0,0,0
235,경인전자,12-Dec,9140,0.79,-6.329113924,79.75,0,0,0
236,경인전자,13-Dec,9140,0.79,0,81.65,0,0,0
237,경인전자,14-Dec,9140,0.74,-6.756756757,81.58,0,0,0
238,경인전자,15-Dec,9140,0.75,1.333333333,81.36,0,0,0
239,경인전자,16-Dec,9140,0.78,3.846153846,82.3,0,0,0
240,경인전자,17-Dec,9140,0.81,3.703703704,81.2,0,0,0
241,경인전자,18-Dec,9140,0.85,4.705882353,81.97,0,0,0
242,경인전자,19-Dec,9140,0.81,-4.938271605,81.8,0,0,0
243,경창산업,11-Dec,24910,0.93,3.225806452,86.155,0,0,0
244,경창산업,12-Dec,24910,0.91,-2.197802198,87.3,0,0,0
245,경창산업,13-Dec,24910,0.88,-3.409090909,87.315,0,0,0
246,경창산업,14-Dec,24910,0.88,0,87.805,0,0,0
247,경창산업,15-Dec,24910,0.88,0,86.72,0,0,0
248,경창산업,16-Dec,24910,0.87,-1.149425287,87.335,0,0,0
249,경창산업,17-Dec,24910,0.91,4.395604396,88.505,0,0,0
250,경창산업,18-Dec,24910,0.88,-3.409090909,89.65,0,0,0
251,경창산업,19-Dec,24910,0.93,5.376344086,89.98,0,0,0
252,계룡건설산업,11-Dec,13580,0.92,0,90.885,0,0,0
253,계룡건설산업,12-Dec,13580,0.92,0,91.785,0,0,0
254,계룡건설산업,13-Dec,13580,0.93,1.075268817,93.005,0,0,0
255,계룡건설산업,14-Dec,13580,1,7,92.97,0,0,0
256,계룡건설산업,15-Dec,13580,0.93,-7.52688172,91.755,0,0,0
257,계룡건설산업,16-Dec,13580,0.92,-1.086956522,90.575,0,0,0
258,계룡건설산업,17-Dec,13580,0.9,-2.222222222,90.275,0,0,0
259,계룡건설산업,18-Dec,13580,0.89,-1.123595506,89.78,0,0,0
260,계룡건설산업,19-Dec,13580,0.9,1.111111111,90.355,0,0,0
261,골드앤에스,11-Dec,35290,0.68,-4.411764706,39.575,0,0,0
262,골드앤에스,12-Dec,35290,0.71,4.225352113,41.175,0,0,0
263,골드앤에스,13-Dec,35290,0.71,0,43.375,0,0,0
264,골드앤에스,14-Dec,35290,0.75,5.333333333,44.96,0,0,0
265,골드앤에스,15-Dec,35290,0.68,-10.29411765,56.37,0,0,0
266,골드앤에스,16-Dec,35290,0.59,-15.25423729,53.67,0,0,0
267,골드앤에스,17-Dec,35290,0.63,6.349206349,54.175,0,0,0
268,골드앤에스,18-Dec,35290,0.51,-23.52941176,47.75,0,1,1
269,골드앤에스,19-Dec,35290,0.82,37.80487805,53.78,0,0,0
270,골드퍼시픽,11-Dec,38530,1,0,78.63,0,0,0
271,골드퍼시픽,12-Dec,38530,1,0,79.75,0,0,0
272,골드퍼시픽,13-Dec,38530,1.15,0,81.65,0,0,0
273,골드퍼시픽,14-Dec,38530,1.09,-5.504587156,81.58,0,0,0
274,골드퍼시픽,15-Dec,38530,1.06,-2.830188679,81.36,0,0,0
275,골드퍼시픽,16-Dec,38530,1,0,82.3,0,0,0
276,골드퍼시픽,17-Dec,38530,1,0,81.2,0,0,0
277,골드퍼시픽,18-Dec,38530,0.25,0,81.97,0,0,0
278,골드퍼시픽,19-Dec,38530,1,0,81.8,0,0,0
279,골프존뉴딘홀딩스,11-Dec,121440,0.47,0,5.55,0,0,0
280,골프존뉴딘홀딩스,12-Dec,121440,0.45,-4.444444444,9.16,0,0,0
281,골프존뉴딘홀딩스,13-Dec,121440,0.51,11.76470588,9.26,0,0,0
282,골프존뉴딘홀딩스,14-Dec,121440,0.51,0,9.49,0,0,0
283,골프존뉴딘홀딩스,15-Dec,121440,0.66,22.72727273,26.25,0,0,0
284,골프존뉴딘홀딩스,16-Dec,121440,0.52,-26.92307692,32.73,0,1,1
285,골프존뉴딘홀딩스,17-Dec,121440,0.53,1.886792453,35.91,0,0,0
286,골프존뉴딘홀딩스,18-Dec,121440,0.58,8.620689655,40.29,0,0,0
287,골프존뉴딘홀딩스,19-Dec,121440,0.61,4.918032787,47.1,0,0,0
288,광림,11-Dec,14200,1,0,86.155,0,0,0
289,광림,12-Dec,14200,1,0,87.3,0,0,0
290,광림,13-Dec,14200,1,0,87.315,0,0,0
291,광림,14-Dec,14200,0.76,0,87.805,0,0,0
292,광림,15-Dec,14200,1,0,86.72,0,0,0
293,광림,16-Dec,14200,0.86,0,87.335,0,0,0
294,광림,17-Dec,14200,0.97,11.34020619,88.505,0,0,0
295,광림,18-Dec,14200,0.9,-7.777777778,89.65,0,0,0
296,광림,19-Dec,14200,0.93,3.225806452,89.98,0,0,0
297,광명전기,11-Dec,17040,0.88,1.136363636,79.665,0,0,0
298,광명전기,12-Dec,17040,0.88,0,81.545,0,0,0
299,광명전기,13-Dec,17040,0.84,-4.761904762,81.135,0,0,0
300,광명전기,14-Dec,17040,0.85,1.176470588,81.835,0,0,0
301,광명전기,15-Dec,17040,0.85,0,82.075,0,0,0
302,광명전기,16-Dec,17040,0.9,5.555555556,81.51,0,0,0
303,광명전기,17-Dec,17040,0.91,1.098901099,83.595,0,0,0
304,광명전기,18-Dec,17040,0.91,0,84.085,0,0,0
305,광명전기,19-Dec,17040,0.89,-2.247191011,86.18,0,0,0
306,광무,11-Dec,29480,0.82,6.097560976,78.63,0,0,0
307,광무,12-Dec,29480,0.82,0,79.75,0,0,0
308,광무,13-Dec,29480,1.1,25.45454545,81.65,0,0,0
309,광무,14-Dec,29480,1,0,81.58,0,0,0
310,광무,15-Dec,29480,1,0,81.36,0,0,0
311,광무,16-Dec,29480,1,0,82.3,0,0,0
312,광무,17-Dec,29480,1,0,81.2,0,0,0
313,광무,18-Dec,29480,0.77,0,81.97,0,0,0
314,광무,19-Dec,29480,0.6,-28.33333333,81.8,0,1,1
315,광전자,11-Dec,17900,0.91,6.593406593,78.63,0,0,0
316,광전자,12-Dec,17900,0.93,2.150537634,79.75,0,0,0
317,광전자,13-Dec,17900,0.92,-1.086956522,81.65,0,0,0
318,광전자,14-Dec,17900,0.98,6.12244898,81.58,0,0,0
319,광전자,15-Dec,17900,0.95,-3.157894737,81.36,0,0,0
320,광전자,16-Dec,17900,0.9,-5.555555556,82.3,0,0,0
321,광전자,17-Dec,17900,0.84,-7.142857143,81.2,0,0,0
322,광전자,18-Dec,17900,0.87,3.448275862,81.97,0,0,0
323,광전자,19-Dec,17900,0.88,1.136363636,81.8,0,0,0
324,광진실업,11-Dec,26910,1,0,90.89,0,0,0
325,광진실업,12-Dec,26910,1,0,91.46,0,0,0
326,광진실업,13-Dec,26910,1,0,91.98,0,0,0
327,광진실업,14-Dec,26910,1,0,91.175,0,0,0
328,광진실업,15-Dec,26910,1,0,90.055,0,0,0
329,광진실업,16-Dec,26910,1,0,89.125,0,0,0
330,광진실업,17-Dec,26910,1,0,90.23,0,0,0
331,광진실업,18-Dec,26910,1,0,91.965,0,0,0
332,광진실업,19-Dec,26910,1,0,92.405,0,0,0
333,구영테크,11-Dec,53270,0.88,2.272727273,86.155,0,0,0
334,구영테크,12-Dec,53270,0.86,-2.325581395,87.3,0,0,0
335,구영테크,13-Dec,53270,0.87,1.149425287,87.315,0,0,0
336,구영테크,14-Dec,53270,0.87,0,87.805,0,0,0
337,구영테크,15-Dec,53270,0.85,-2.352941176,86.72,0,0,0
338,구영테크,16-Dec,53270,0.85,0,87.335,0,0,0
339,구영테크,17-Dec,53270,0.85,0,88.505,0,0,0
340,구영테크,18-Dec,53270,0.89,4.494382022,89.65,0,0,0
341,구영테크,19-Dec,53270,0.9,1.111111111,89.98,0,0,0
342,국동,11-Dec,5320,0.87,1.149425287,80.81,0,0,0
343,국동,12-Dec,5320,0.82,-6.097560976,81.77,0,0,0
344,국동,13-Dec,5320,0.84,2.380952381,80.31,0,0,0
345,국동,14-Dec,5320,0.82,-2.43902439,80.28,0,0,0
346,국동,15-Dec,5320,0.83,1.204819277,81.66,0,0,0
347,국동,16-Dec,5320,0.81,-2.469135802,82.9,0,0,0
348,국동,17-Dec,5320,0.85,4.705882353,82.45,0,0,0
349,국동,18-Dec,5320,0.83,-2.409638554,83.32,0,0,0
350,국동,19-Dec,5320,0.85,2.352941176,83.47,0,0,0
351,국보,11-Dec,1140,0.93,2.150537634,91.1,0,0,0
352,국보,12-Dec,1140,0.92,-1.086956522,91.44,0,0,0
353,국보,13-Dec,1140,0.92,0,92.89,0,0,0
354,국보,14-Dec,1140,0.94,2.127659574,91.51,0,0,0
355,국보,15-Dec,1140,0.94,0,90.67,0,0,0
356,국보,16-Dec,1140,0.91,-3.296703297,90.72,0,0,0
357,국보,17-Dec,1140,0.92,1.086956522,92.38,0,0,0
358,국보,18-Dec,1140,0.95,3.157894737,92.23,0,0,0
359,국보,19-Dec,1140,0.8,-18.75,91.62,0,0,0
360,국순당,11-Dec,43650,0.57,14.03508772,59.36,0,0,0
361,국순당,12-Dec,43650,0.55,-3.636363636,59.41,0,0,0
362,국순당,13-Dec,43650,0.58,5.172413793,58.53,0,0,0
363,국순당,14-Dec,43650,0.61,4.918032787,60.8,0,0,0
