회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS)(천원),매출원가(*)(IFRS연결)(천원),자본(*)(IFRS)(천원),자본(*)(IFRS연결)(천원),판매비와 관리비(물류원가 등 포함)(*)(IFRS)(천원),판매비와 관리비(물류원가 등 포함)(*)(IFRS연결)(천원),당기순이익(손실)(IFRS)(천원),당기순이익(손실)(IFRS연결)(천원),자산(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),장기차입금(IFRS)(천원),단기차입금(IFRS)(천원),회사채(IFRS)(천원),이자비용(IFRS연결)(천원),이자비용(IFRS)(천원)
크로바하이텍(주),043590,2015/12,51787262,57896675,47200150,53451426,34877797,33431677,6436957,7044255,-3459207,-3500905,66657962,66694028,0,0,0,0,524323
크로바하이텍(주),043590,2016/12,52557925,60226943,46053747,52327911,34393438,33765047,4887284,6148354,-1067653,-258533,62997057,64402172,0,0,0,0,725025
크로바하이텍(주),043590,2017/12,51224613,57549187,47293658,52296086,32050687,31891511,4953313,6299897,-1273880,-883648,55786459,57727285,0,0,0,0,577781
크로바하이텍(주),043590,2018/12,40298802,46795016,41203748,47812487,26163724,26019585,5556326,6071485,-31283800,-31215503,63496122,65140546,0,0,0,0,742829
크로바하이텍(주),043590,2019/12,28801873,35522415,28221599,33651264,16455605,16038456,4357589,6117861,-7457778,-7477696,25652205,27010183,0,0,0,0,1453112
크루셜텍(주),114120,2011/12,269479631,252079208,235384427,218599266,112005161,122801222,17815540,20480438,17634583,12627939,205621559,267239724,0,0,0,0,1240872
크루셜텍(주),114120,2012/12,137711192,280306613,133113475,259070470,104868713,117880882,16666812,29418523,-8908715,-11096823,189841192,289600501,0,0,0,0,1744053
크루셜텍(주),114120,2013/12,84440908,418335669,84423069,389434897,93524765,109147059,22906520,45536202,-18274185,-18699635,185104814,355595416,0,0,0,0,2258689
크루셜텍(주),114120,2014/12,74983037,415375265,71951342,384850057,71234181,91546465,25538407,43377105,-33742899,-34697208,198239710,344590665,0,0,0,0,4901204
크루셜텍(주),114120,2015/12,258215630,262524146,206528027,210907331,111283035,97513880,34905446,37293649,9543490,9608918,316069945,289380143,0,0,0,0,4638913
크루셜텍(주),114120,2016/12,316831953,320033254,269729128,266403753,120113845,104995682,42100140,45318859,1148516,288829,277603797,286280182,0,0,0,0,5715667
크루셜텍(주),114120,2017/12,164520800,172701652,151247809,179053355,131306096,85086555,31596850,33218193,-34016273,-63733422,254358739,248990199,0,0,0,0,4376310
크루셜텍(주),114120,2018/12,79684507,83675066,77063765,91067051,141665850,85379111,20821920,22564647,-42842229,-53631814,220926238,152030333,0,0,0,0,3233395
크루셜텍(주),114120,2019/12,61580736,65079351,51662710,76558435,28265345,43588075,48482713,17663102,-117180804,-45131058,82490801,107061952,0,0,0,0,2939097
크리스탈지노믹스(주),083790,2011/12,3451314,3805891,0,0,30400162,30371161,12638670,13824038,-9114342,-9448312,63253824,62963972,0,0,0,0,474205
크리스탈지노믹스(주),083790,2012/12,3718986,3718986,0,0,22407611,22267548,10871997,10955123,-11736837,-11819648,54814837,54559546,0,0,0,0,2545774
크리스탈지노믹스(주),083790,2013/12,4795862,4795862,0,0,36930895,36163555,10827796,10834935,-10783984,-11405566,89627543,88769402,0,0,0,0,3877014
크리스탈지노믹스(주),083790,2014/12,4535575,4535575,0,0,55729312,55027659,11760848,11764092,-11986973,-11930796,106823823,106051985,0,0,0,0,4858315
크리스탈지노믹스(주),083790,2015/12,9765712,9765712,0,0,70838591,73638997,13583761,13615092,-5591520,-5141977,111680484,127284550,0,0,0,0,3567606
크리스탈지노믹스(주),083790,2016/12,11126480,14524949,1130954,4856543,83036618,83264874,11316454,13755608,-2179460,-3766382,113396969,128666439,0,0,0,0,1359997
크리스탈지노믹스(주),083790,2017/12,8492032,12175118,628920,3333319,91586917,91586917,12952999,15252817,-8575453,-8575453,119585874,119465138,0,0,0,0,707987
크리스탈지노믹스(주),083790,2018/12,13889307,13887491,2902001,2902001,184467049,184467049,9213474,9229119,6907591,6907591,257055553,256919699,0,0,0,0,1255885
크리스탈지노믹스(주),083790,2019/12,4397571,14006559,3042991,9200412,148891535,225216865,11004810,15366388,-38026120,-38091103,231529185,379189388,0,0,0,0,5375019
키네마스터(주),139670,2011/12,12020908,,0,,16989588,,8906300,,2840197,,19214311,,0,0,0,,1
키네마스터(주),139670,2012/12,15289534,,0,,18298221,,10917921,,3890361,,21640537,,0,0,0,,0
키네마스터(주),139670,2013/12,18302454,,0,,22270169,,13753191,,4131301,,27093412,,0,0,0,,0
키네마스터(주),139670,2014/12,17351452,17344584,0,0,23902531,23959526,15123042,15055343,2444576,2491882,30029307,30108688,0,0,0,0,0
키네마스터(주),139670,2015/12,12712823,12713550,0,0,22856643,22829749,14809539,14895375,-1105656,-1191553,28158668,28153437,0,0,0,0,0
키네마스터(주),139670,2016/12,9279719,9342322,0,0,17937756,17936158,14284363,14308357,-5287646,-5262828,21809896,21840802,0,0,0,0,0
키네마스터(주),139670,2017/12,9977766,10098222,0,0,13484781,13504730,13371411,13462223,-4316402,-4289608,16578004,16620815,0,0,0,0,0
키네마스터(주),139670,2018/12,12063442,12796770,0,0,11929556,12360434,9836568,15920673,-3483503,-3144984,12744070,14016800,0,0,0,0,0
키네마스터(주),139670,2019/12,19326756,19423411,0,0,11170673,12530645,19718347,19105463,-874012,61731,12753329,14348847,0,0,0,0,10344
태경산업(주),015890,2011/12,138611136,400323922,112006140,301984555,151494669,259871985,18377180,65863760,8745225,25587992,220017265,422190911,0,0,0,0,1145031
태경산업(주),015890,2012/12,146414777,406825725,118046756,307153875,157948657,276031969,24746809,76739267,10871097,24560628,205551175,428780317,0,0,0,0,1072387
