회사명,회계년도,거래소코드,매출액(수익)(*)(IFRS연결)(천원)
대동스틸,13-Dec,48470,130618849
대동스틸,14-Dec,48470,109642438
대동스틸,15-Dec,48470,92348516
대동스틸,16-Dec,48470,68177746
대동스틸,17-Dec,48470,90505698
대동스틸,18-Dec,48470,101539496
대동스틸,19-Dec,48470,113290547
대림제지,11-Dec,17650,78530514
대림제지,12-Dec,17650,76851211
대림제지,13-Dec,17650,61342989
대림제지,14-Dec,17650,57374784
대림제지,15-Dec,17650,54737678
대림제지,16-Dec,17650,67430955
대림제지,17-Dec,17650,118019206
대림제지,18-Dec,17650,146502272
대림제지,19-Dec,17650,105900335
대명소노시즌,11-Dec,7720,24126346
대명소노시즌,12-Dec,7720,13677795
대명소노시즌,13-Dec,7720,170576588
대명소노시즌,14-Dec,7720,179185015
대명소노시즌,15-Dec,7720,205477211
대명소노시즌,16-Dec,7720,217451478
대명소노시즌,17-Dec,7720,235523369
대명소노시즌,18-Dec,7720,280961738
대명소노시즌,19-Dec,7720,218566639
대성미생물연구소,11-Dec,36480,17148022
대성미생물연구소,12-Dec,36480,16332474
대성미생물연구소,13-Dec,36480,21633306
대성미생물연구소,14-Dec,36480,25297656
대성미생물연구소,15-Dec,36480,31025903
대성미생물연구소,16-Dec,36480,30801319
대성미생물연구소,17-Dec,36480,24043374
대성미생물연구소,18-Dec,36480,25097138
대성미생물연구소,19-Dec,36480,25133940
대성엘텍,11-Dec,25440,254383050
대성엘텍,12-Dec,25440,265749156
대성엘텍,13-Dec,25440,318663155
대성엘텍,14-Dec,25440,392611689
대성엘텍,15-Dec,25440,355223578
대성엘텍,16-Dec,25440,366692739
대성엘텍,17-Dec,25440,350575739
대성엘텍,18-Dec,25440,348076304
대성엘텍,19-Dec,25440,377405556
대성파인텍,11-Dec,104040,32471054
대성파인텍,12-Dec,104040,35070320
대성파인텍,13-Dec,104040,35560822
대성파인텍,14-Dec,104040,38872598
대성파인텍,15-Dec,104040,44267460
대성파인텍,16-Dec,104040,47677369
대성파인텍,17-Dec,104040,43233993
대성파인텍,18-Dec,104040,38587676
대성파인텍,19-Dec,104040,37466323
대양금속,11-Dec,9190,146313431
대양금속,12-Dec,9190,105129341
대양금속,13-Dec,9190,113651899
대양금속,14-Dec,9190,122339495
대양금속,15-Dec,9190,121554021
대양금속,16-Dec,9190,146247517
대양금속,17-Dec,9190,172877205
대양금속,18-Dec,9190,165044206
대양금속,19-Dec,9190,151597696
대우건설,11-Dec,47040,7019591544
대우건설,12-Dec,47040,8223432761
대우건설,13-Dec,47040,8782195639
대우건설,14-Dec,47040,9995022699
대우건설,15-Dec,47040,9935734306
대우건설,16-Dec,47040,11105930098
대우건설,17-Dec,47040,11766840488
대우건설,18-Dec,47040,10605493845
대우건설,19-Dec,47040,8651852221
대유에이텍,11-Dec,2880,469492403
대유에이텍,12-Dec,2880,505514624
대유에이텍,13-Dec,2880,555167096
대유에이텍,14-Dec,2880,737452073
대유에이텍,15-Dec,2880,1010565226
대유에이텍,16-Dec,2880,1020081834
대유에이텍,17-Dec,2880,1067821414
대유에이텍,18-Dec,2880,1110212702
대유에이텍,19-Dec,2880,1284997078
대유플러스,11-Dec,300,334908921
대유플러스,12-Dec,300,379402054
대유플러스,13-Dec,300,423640919
대유플러스,14-Dec,300,501739482
대유플러스,15-Dec,300,495781661
대유플러스,16-Dec,300,434112971
대유플러스,17-Dec,300,457742056
대유플러스,18-Dec,300,503410184
대유플러스,19-Dec,300,457263303
대창,11-Dec,12800,868579999
대창,12-Dec,12800,781254333
대창,13-Dec,12800,754870184
대창,14-Dec,12800,1323691567
대창,15-Dec,12800,1016663483
대창,16-Dec,12800,817684058
대창,17-Dec,12800,983291022
대창,18-Dec,12800,951257321
대창,19-Dec,12800,898987909
대창솔루션,11-Dec,96350,78897094
대창솔루션,12-Dec,96350,68934325
대창솔루션,13-Dec,96350,95233300
대창솔루션,14-Dec,96350,82650798
대창솔루션,15-Dec,96350,59676898
대창솔루션,16-Dec,96350,49327918
대창솔루션,17-Dec,96350,42774854
대창솔루션,18-Dec,96350,51667981
대창솔루션,19-Dec,96350,65192868
대창스틸,14-Dec,140520,266081393
대창스틸,15-Dec,140520,260110989
대창스틸,16-Dec,140520,302662749
대창스틸,17-Dec,140520,318055221
대창스틸,18-Dec,140520,228396166
대창스틸,19-Dec,140520,197636280
대한과학,11-Dec,131220,34442607
대한과학,12-Dec,131220,39173115
대한과학,13-Dec,131220,39656586
대한과학,14-Dec,131220,39051055
대한과학,15-Dec,131220,41604516
대한과학,16-Dec,131220,46070953
대한과학,17-Dec,131220,41364830
대한과학,18-Dec,131220,47055603
대한과학,19-Dec,131220,55165316
대한항공,11-Dec,3490,12269083442
대한항공,12-Dec,3490,12719636524
대한항공,13-Dec,3490,11848707841
대한항공,14-Dec,3490,11909748648
대한항공,15-Dec,3490,11544831301
대한항공,16-Dec,3490,11731852589
대한항공,17-Dec,3490,12092211498
대한항공,18-Dec,3490,13011645224
대한항공,19-Dec,3490,12683407265
대호에이엘,11-Dec,69460,179347681
대호에이엘,12-Dec,69460,151031967
대호에이엘,13-Dec,69460,139063658
대호에이엘,14-Dec,69460,131723452
대호에이엘,15-Dec,69460,121584665
대호에이엘,16-Dec,69460,117646225
대호에이엘,17-Dec,69460,126319691
대호에이엘,18-Dec,69460,132411332
대호에이엘,19-Dec,69460,117536747
대호특수강,11-Dec,21040,213832202
대호특수강,12-Dec,21040,220378054
대호특수강,13-Dec,21040,314033771
대호특수강,14-Dec,21040,222066124
대호특수강,15-Dec,21040,200872222
대호특수강,16-Dec,21040,185678388
대호특수강,17-Dec,21040,205306467
대호특수강,18-Dec,21040,209863691
대호특수강,19-Dec,21040,204179606
더 미동,13-Dec,161570,41879645
더 미동,14-Dec,161570,36758112
더 미동,15-Dec,161570,40713758
더 미동,16-Dec,161570,28872693
더 미동,17-Dec,161570,28157406
더 미동,18-Dec,161570,19602894
더 미동,19-Dec,161570,24883150
더블유아이,11-Dec,73570,52297039
더블유아이,12-Dec,73570,21961327
더블유아이,13-Dec,73570,95416105
더블유아이,14-Dec,73570,118448729
더블유아이,15-Dec,73570,15165610
더블유아이,16-Dec,73570,4764944
더블유아이,17-Dec,73570,12072601
더블유아이,18-Dec,73570,19277934
더블유아이,19-Dec,73570,24052132
덕성,11-Dec,4830,90994471
덕성,12-Dec,4830,91531135
덕성,13-Dec,4830,97418617
덕성,14-Dec,4830,82288347
덕성,15-Dec,4830,76938066
덕성,16-Dec,4830,103808604
덕성,17-Dec,4830,100706194
덕성,18-Dec,4830,83746049
