회사명,거래소코드,회계년도,R & D 투자효율,통계청 한국표준산업분류 10차(소분류)
(주)구영테크,53270,19-Dec,0,  자동차 신품 부품 제조업
(주)국동,5320,11-Dec,0,  생활용품 도매업
(주)국동,5320,12-Dec,0,  생활용품 도매업
(주)국동,5320,13-Dec,0,  생활용품 도매업
(주)국동,5320,14-Dec,0,  생활용품 도매업
(주)국동,5320,15-Dec,0,  생활용품 도매업
(주)국동,5320,16-Dec,0,  생활용품 도매업
(주)국동,5320,17-Dec,0,  생활용품 도매업
(주)국동,5320,18-Dec,0,  생활용품 도매업
(주)국동,5320,19-Dec,0,  생활용품 도매업
(주)국보,1140,11-Dec,0,  도로 화물 운송업
(주)국보,1140,12-Dec,0,  도로 화물 운송업
(주)국보,1140,13-Dec,0,  도로 화물 운송업
(주)국보,1140,14-Dec,0,  도로 화물 운송업
(주)국보,1140,15-Dec,0,  도로 화물 운송업
(주)국보,1140,16-Dec,0,  도로 화물 운송업
(주)국보,1140,17-Dec,0,  도로 화물 운송업
(주)국보,1140,18-Dec,0,  도로 화물 운송업
(주)국보,1140,19-Dec,0,  도로 화물 운송업
(주)국순당,43650,11-Dec,0.62,  알코올음료 제조업
(주)국순당,43650,12-Dec,0,  알코올음료 제조업
(주)국순당,43650,13-Dec,0,  알코올음료 제조업
(주)국순당,43650,14-Dec,0,  알코올음료 제조업
(주)국순당,43650,15-Dec,0.98,  알코올음료 제조업
(주)국순당,43650,16-Dec,1.2,  알코올음료 제조업
(주)국순당,43650,17-Dec,1.38,  알코올음료 제조업
(주)국순당,43650,18-Dec,1.5,  알코올음료 제조업
(주)국순당,43650,19-Dec,1.75,  알코올음료 제조업
(주)국영지앤엠,6050,11-Dec,0,  유리 및 유리제품 제조업
(주)국영지앤엠,6050,12-Dec,0,  유리 및 유리제품 제조업
(주)국영지앤엠,6050,13-Dec,0,  유리 및 유리제품 제조업
(주)국영지앤엠,6050,14-Dec,0,  유리 및 유리제품 제조업
(주)국영지앤엠,6050,15-Dec,0,  유리 및 유리제품 제조업
(주)국영지앤엠,6050,16-Dec,0,  유리 및 유리제품 제조업
(주)국영지앤엠,6050,17-Dec,0,  유리 및 유리제품 제조업
(주)국영지앤엠,6050,18-Dec,0,  유리 및 유리제품 제조업
(주)국영지앤엠,6050,19-Dec,0,  유리 및 유리제품 제조업
(주)그래디언트,35080,11-Dec,0,  무점포 소매업
(주)그래디언트,35080,12-Dec,0,  무점포 소매업
(주)그래디언트,35080,13-Dec,0,  무점포 소매업
(주)그래디언트,35080,14-Dec,0,  무점포 소매업
(주)그래디언트,35080,15-Dec,0,  무점포 소매업
(주)그래디언트,35080,16-Dec,0,  무점포 소매업
(주)그래디언트,35080,17-Dec,0,  무점포 소매업
(주)그래디언트,35080,18-Dec,0,  무점포 소매업
(주)그래디언트,35080,19-Dec,30.82,  무점포 소매업
(주)금호에이치티,214330,15-Dec,1.4,  자동차 신품 부품 제조업
(주)금호에이치티,214330,16-Dec,0,  자동차 신품 부품 제조업
(주)금호에이치티,214330,17-Dec,0,  자동차 신품 부품 제조업
(주)금호에이치티,214330,18-Dec,0,  자동차 신품 부품 제조업
(주)금호에이치티,214330,19-Dec,0,  자동차 신품 부품 제조업
(주)기가레인,49080,13-Dec,0,  특수 목적용 기계 제조업
(주)기가레인,49080,14-Dec,0,  특수 목적용 기계 제조업
(주)기가레인,49080,15-Dec,0,  특수 목적용 기계 제조업
(주)기가레인,49080,16-Dec,0,  특수 목적용 기계 제조업
(주)기가레인,49080,17-Dec,0,  특수 목적용 기계 제조업
(주)기가레인,49080,18-Dec,0.07,  특수 목적용 기계 제조업
(주)기가레인,49080,19-Dec,0.24,  특수 목적용 기계 제조업
(주)기산텔레콤,35460,11-Dec,12.76,  통신 및 방송 장비 제조업
(주)기산텔레콤,35460,12-Dec,6.09,  통신 및 방송 장비 제조업
(주)기산텔레콤,35460,13-Dec,6.35,  통신 및 방송 장비 제조업
(주)기산텔레콤,35460,14-Dec,7.77,  통신 및 방송 장비 제조업
(주)기산텔레콤,35460,15-Dec,7.19,  통신 및 방송 장비 제조업
(주)기산텔레콤,35460,16-Dec,12.55,  통신 및 방송 장비 제조업
(주)기산텔레콤,35460,17-Dec,10.65,  통신 및 방송 장비 제조업
(주)기산텔레콤,35460,18-Dec,12.62,  통신 및 방송 장비 제조업
(주)기산텔레콤,35460,19-Dec,8.25,  통신 및 방송 장비 제조업
(주)까뮤이앤씨,13700,11-Dec,0,  건물 건설업
(주)까뮤이앤씨,13700,12-Dec,0,  건물 건설업
(주)까뮤이앤씨,13700,13-Dec,0,  건물 건설업
(주)까뮤이앤씨,13700,14-Dec,0.02,  건물 건설업
(주)까뮤이앤씨,13700,15-Dec,0.01,  건물 건설업
(주)까뮤이앤씨,13700,16-Dec,0,  건물 건설업
(주)까뮤이앤씨,13700,17-Dec,0.18,  건물 건설업
(주)까뮤이앤씨,13700,18-Dec,0.2,  건물 건설업
(주)까뮤이앤씨,13700,19-Dec,0.12,  건물 건설업
(주)나노,187790,14-Dec,,  기초 화학물질 제조업
(주)나노,187790,15-Dec,2.2,  기초 화학물질 제조업
(주)나노,187790,16-Dec,2.61,  기초 화학물질 제조업
(주)나노,187790,17-Dec,1.16,  기초 화학물질 제조업
(주)나노,187790,18-Dec,1.03,  기초 화학물질 제조업
(주)나노,187790,19-Dec,0.52,  기초 화학물질 제조업
(주)나노브릭,286750,19-Dec,8.17,  기초 화학물질 제조업
(주)나노신소재,121600,11-Dec,4.08,  기타 화학제품 제조업
(주)나노신소재,121600,12-Dec,7.02,  기타 화학제품 제조업
(주)나노신소재,121600,13-Dec,9.19,  기타 화학제품 제조업
(주)나노신소재,121600,14-Dec,7.96,  기타 화학제품 제조업
(주)나노신소재,121600,15-Dec,6.21,  기타 화학제품 제조업
(주)나노신소재,121600,16-Dec,8.07,  기타 화학제품 제조업
(주)나노신소재,121600,17-Dec,6.58,  기타 화학제품 제조업
(주)나노신소재,121600,18-Dec,6.88,  기타 화학제품 제조업
(주)나노신소재,121600,19-Dec,8.27,  기타 화학제품 제조업
(주)나무가,190510,15-Dec,1.65,  전자부품 제조업
(주)나무가,190510,16-Dec,3.27,  전자부품 제조업
(주)나무가,190510,17-Dec,3.72,  전자부품 제조업
(주)나무가,190510,18-Dec,2.37,  전자부품 제조업
(주)나무가,190510,19-Dec,2.43,  전자부품 제조업
(주)나이벡,138610,11-Dec,0.1,  의료용품 및 기타 의약 관련제품 제조업
(주)나이벡,138610,12-Dec,4.06,  의료용품 및 기타 의약 관련제품 제조업
(주)나이벡,138610,13-Dec,3.89,  의료용품 및 기타 의약 관련제품 제조업
(주)나이벡,138610,14-Dec,3.11,  의료용품 및 기타 의약 관련제품 제조업
(주)나이벡,138610,15-Dec,2.72,  의료용품 및 기타 의약 관련제품 제조업
(주)나이벡,138610,16-Dec,5.24,  의료용품 및 기타 의약 관련제품 제조업
(주)나이벡,138610,17-Dec,10.16,  의료용품 및 기타 의약 관련제품 제조업
(주)나이벡,138610,18-Dec,23.12,  의료용품 및 기타 의약 관련제품 제조업
(주)나이벡,138610,19-Dec,18.12,  의료용품 및 기타 의약 관련제품 제조업
(주)나인테크,267320,17-Dec,,  특수 목적용 기계 제조업
(주)나인테크,267320,18-Dec,,  특수 목적용 기계 제조업
(주)나인테크,267320,19-Dec,,  특수 목적용 기계 제조업
(주)남성,4270,11-Dec,0.83,  기타 전문 도매업
(주)남성,4270,12-Dec,0.63,  기타 전문 도매업
(주)남성,4270,13-Dec,0.67,  기타 전문 도매업
(주)남성,4270,14-Dec,0.7,  기타 전문 도매업
(주)남성,4270,15-Dec,0.69,  기타 전문 도매업
(주)남성,4270,16-Dec,0.76,  기타 전문 도매업
(주)남성,4270,17-Dec,0.76,  기타 전문 도매업
(주)남성,4270,18-Dec,1.11,  기타 전문 도매업
(주)남성,4270,19-Dec,1.21,  기타 전문 도매업
(주)내츄럴엔도텍,168330,13-Dec,1.01,  자연과학 및 공학 연구개발업
(주)내츄럴엔도텍,168330,14-Dec,1.63,  자연과학 및 공학 연구개발업
(주)내츄럴엔도텍,168330,15-Dec,4.85,  자연과학 및 공학 연구개발업
(주)내츄럴엔도텍,168330,16-Dec,21.88,  자연과학 및 공학 연구개발업
(주)내츄럴엔도텍,168330,17-Dec,17.45,  자연과학 및 공학 연구개발업
(주)내츄럴엔도텍,168330,18-Dec,18.37,  자연과학 및 공학 연구개발업
(주)내츄럴엔도텍,168330,19-Dec,23.21,  자연과학 및 공학 연구개발업
(주)네오리진,94860,11-Dec,0,  소프트웨어 개발 및 공급업
(주)네오리진,94860,12-Dec,0,  소프트웨어 개발 및 공급업
