회사명,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
(주)대유에이텍,90.40078867,91.93461049,91.59495967,92.71943775,90.96888592,84.4445168,83.30694643,83.22296831,84.92219205,84.26427418
(주)대유에이피,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87.60306662
(주)대유플러스,92.17052595,94.14986291,99.09107556,91.72280877,92.41545038,91.32301366,89.43902231,90.87524416,85.33442363,90.2912502
(주)대창,91.79426871,95.11557657,95.54291829,95.84629163,96.2102173,99.70822155,92.68458857,92.67616948,94.69273467,94.7632695
(주)대창솔루션,#DIV/0!,#DIV/0!,91.27067539,92.84954317,96.91521067,88.42216966,98.59197382,102.2319726,101.2646033,88.11577365
(주)대창스틸,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,94.03223246,95.11004896,94.98428431,95.19381384,94.72558966,93.67865151
(주)대한과학,#DIV/0!,#DIV/0!,74.95458556,73.38682911,73.69338421,74.62214438,74.78554872,71.45110955,73.23839204,74.63473245
(주)대한항공,77.78002689,85.90421849,88.39380184,90.75779265,87.23562974,82.43859668,80.4239679,82.62469058,84.62631727,87.82613247
(주)대현,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
(주)대호에이엘,88.72555294,90.38282798,92.04566209,93.09676724,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
(주)대호특수강,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
(주)더 미동,#DIV/0!,#DIV/0!,#DIV/0!,83.14413362,83.92011537,89.24943996,96.41125613,90.89802875,94.36135807,94.89458127
(주)더블유게임즈,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0
(주)더블유아이,91.08872412,92.73668438,121.1373657,95.76262728,#DIV/0!,#DIV/0!,114.6423757,88.90149687,53.21941137,#DIV/0!
(주)더블유에스아이,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
(주)더존비즈온,44.33404202,47.93575556,46.94255634,48.64331531,49.03731681,43.59245461,40.62411515,40.89896118,44.00046177,43.16546546
(주)덕산테코피아,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
(주)덕성,90.2123428,90.62866028,86.10600207,84.28368471,86.39585991,87.61720109,87.05012062,88.06432999,90.88739816,86.18168835
(주)덕신하우징,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,83.98726314,96.00106966,84.40866382,83.2507,87.63499237
(주)데이타솔루션,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
(주)덱스터스튜디오,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,65.67098296,68.42185526,140.5441173,71.7164412,0
(주)덴티스,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
(주)덴티움,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,29.22562434,29.81210161,33.65474554
(주)도화엔지니어링,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0
(주)동구바이오제약,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
(주)동국알앤에스,86.43634123,85.07624466,82.63230233,84.6888725,83.93883875,85.33712561,83.91310154,82.39269487,82.09213527,83.17952856
(주)동국에스엔씨,92.80743519,91.36849399,87.84105403,88.95147655,90.40693827,89.17766203,85.76786269,90.31011732,95.05898567,87.79010586
