회사명,거래소코드,2010매출액(수익)(*)(IFRS연결)(천원),2010매출원가(*)(IFRS연결)(천원),2011매출액(수익)(*)(IFRS연결)(천원),2011매출원가(*)(IFRS연결)(천원),2012매출액(수익)(*)(IFRS연결)(천원),2012매출원가(*)(IFRS연결)(천원),2013매출액(수익)(*)(IFRS연결)(천원),2013매출원가(*)(IFRS연결)(천원),2014매출액(수익)(*)(IFRS연결)(천원),2014매출원가(*)(IFRS연결)(천원),2015매출액(수익)(*)(IFRS연결)(천원),2015매출원가(*)(IFRS연결)(천원),2016매출액(수익)(*)(IFRS연결)(천원),2016매출원가(*)(IFRS연결)(천원),2017매출액(수익)(*)(IFRS연결)(천원),2017매출원가(*)(IFRS연결)(천원),2018매출액(수익)(*)(IFRS연결)(천원),2018매출원가(*)(IFRS연결)(천원),2019매출액(수익)(*)(IFRS연결)(천원),2019매출원가(*)(IFRS연결)(천원)
(주)뉴로스,126870,,,,,32115481,17457759,36927794,20949242,34971149,19667861,42296650,29132443,44107101,27417266,44781756,30511936,51336070,34468898,59337239,45389599
(주)뉴보텍,60260,,,,,,,,,,,,,,,,,,,,
(주)뉴인텍,12340,56835516,48949280,58341797,51598791,52010833,52729733,55876597,52093612,57446183,55654181,50090372,44818938,47895458,48731974,50296811,46212803,50073204,46773720,54414657,48274308
(주)뉴트리,270870,,,,,,,,,,,,,,,,,87218814,21549426,125146821,28564411
(주)뉴파워프라즈마,144960,,,,,,,,,,,,,67407272,35073091,104494422,52982744,73411628,36539593,60165999,32316082
(주)뉴프렉스,85670,71160657,65370795,69161654,61934274,115200892,100590030,135289597,123241092,137800531,123199111,120624038,111409418,145216489,134146461,152715761,135492168,195502399,172692307,128250921,124862126
(주)다나와,119860,,,21167814,0,25425297,0,26571940,0,35190274,7091145,45480902,12921470,64407865,0,107606286,0,121359168,0,202773825,0
(주)다날,64260,84239177,0,93496730,0,101742236,0,118103847,0,98522996,0,112948116,0,133477893,0,172882038,0,209864332,0,191162051,0
(주)다보링크,340360,,,,,,,,,,,,,,,,,,,,
(주)다산네트웍스,39560,207463115,129818447,144096268,96416001,136034007,84505178,142676651,94362361,163972551,114984264,268186401,208301731,222842801,161705417,307090231,202193627,356932941,236032103,446586616,296929488
(주)다우기술,23590,741336841,427938678,760690314,413897604,759179929,491708894,752246696,499335780,782978984,473634464,1049708558,576909961,1153420151,673332959,1351213661,763668691,2210006672,1575493918,2901833126,1998008740
(주)다우데이타,32190,878474389,546145426,896975499,529741603,914936870,600814456,974220018,646990289,1037075936,644549123,1307683757,759202715,1378367701,826622500,1614385776,934268361,2525297692,1746635266,3261975999,2196755647
(주)다원시스,68240,,,,,,,,,53005111,34370579,67000805,44274428,74193619,51216436,111462046,75146302,128747502,91913119,175077026,136802026
(주)다이나믹디자인,145210,,,,,,,,,,,227815365,190169090,204284452,172296864,165349941,141570097,120810602,114463688,99404033,89743530
(주)대교,19680,904217159,737890806,932828729,766934624,869494014,718594396,839582029,688639185,810557124,659666469,813207845,648794372,820717373,654713697,812203104,651339590,763142133,626714041,761938686,621780549
(주)대구백화점,6370,176290170,58760358,,,,,,,171071933,64507767,158152063,59019350,158291381,56991564,137288048,49707227,119956329,38066943,101484471,0
(주)대덕,8060,530903371,458990944,656457276,585581278,751112577,660521039,737185692,702478805,,,,,,,,,592072102,536404616,1072245939,978270686
(주)대동,490,519626570,402349466,619097327,484481947,563460079,440020407,614567090,479624426,603238442,490630455,583473475,452143421,585413995,464168025,610103128,484103436,654760356,529711488,832931373,638150435
(주)대동스틸,48470,,,,,,,,,,,,,,,,,,,,
(주)대륙제관,4780,,,,,,,,,,,,,,,,,,,,
(주)대림제지,17650,,,,,,,,,,,,,,,118019206,104251361,146502272,118557618,,
(주)대명소노시즌,7720,33928249,24769785,24126346,20264678,13677795,10345593,170576588,137438996,179185015,137908849,205477211,165927839,217451478,173193281,235523369,192521667,280961738,226088287,218566639,180486620
(주)대성미생물연구소,36480,,,,,,,,,,,,,,,,,,,,
(주)대성엘텍,25440,275635361,254265011,254383050,249756975,265749156,248329419,318663155,306534539,392611689,372498717,355223578,337142439,366692739,346642718,350575739,335628059,348076304,336516539,377405556,370241621
(주)대성파인텍,104040,24471556,19592283,32471054,25009684,35070320,28423014,35560822,28164119,38872598,32096994,44267460,35171313,47677369,38963771,43233993,34321389,38587676,32568008,37466323,32727623
(주)대양금속,9190,215591074,194956661,146313431,155905791,105129341,120729510,113651899,112222995,122339495,123790310,,,,,,,,,,
(주)대우건설,47040,6713401582,6586941648,7019591544,6336765332,8223432761,7403856915,8782195639,8442194161,9995022699,9231385383,9935734306,9207716666,11105930098,11010874329,11766840488,10935113794,10605493845,9575386039,8651852221,7796798427
(주)대웅,3090,766644083,427553638,294259306,181671594,320770921,198953241,843315008,457470965,893952807,535776975,996816140,607229844,1014965932,554400776,1123956914,609127000,1231290089,683598961,1365679369,732292724
(주)대웅제약,69620,,,710547146,409830898,669013833,391898198,682508016,390805395,735889424,465702015,839686478,537082983,883920425,510232177,960307423,553325208,1031427426,621484738,1113425921,635132494
(주)대원,7680,,,,,,,,,,,,,,,289919901,248227032,333043729,287544569,248600434,213918448
(주)대유,290380,,,,,,,,,,,,,,,,,,,,
(주)대유에이텍,2880,278778965,252018383,469492403,431626012,505514624,463025916,555167096,514747810,737452073,670851935,1010565226,853366922,1020081834,849799027,1067821414,888672677,1110212702,942816963,1284997078,1082793461
(주)대유에이피,290120,,,,,,,,,,,,,,,,,,,157452770,137933455
(주)대유플러스,300,236261847,217763787,334908921,315316290,379402054,375953576,423640919,388575350,501739482,463684802,495781661,452762754,434112971,388266397,457742056,415974211,503410184,429582179,457263303,412868753
(주)대창,12800,814945245,748073028,868579999,826154874,781254333,746433189,754870184,723515078,1323691567,1273526533,1016663483,1013697078,817684058,757867105,983291022,911276454,951257321,900771571,898987909,851910335
(주)대창솔루션,96350,,,,,68934325,62916824,95233300,88423684,82650798,80101195,59676898,52767608,49327918,48633368,42774854,43729577,51667981,52321376,65192868,57445200
(주)대창스틸,140520,,,,,,,,,266081393,250202274,260110989,247391689,302662749,287482046,318055221,302768895,228396166,216349615,197636280,185143002
(주)대한과학,131220,,,,,39173115,29362046,39656586,29102711,39051055,28778044,41604516,31046182,46070953,34454415,41364830,29555630,47055603,34462767,55165316,41172486
(주)대한항공,3490,11639953965,9053559324,12269083442,10539660247,12719636524,11243370304,11848707841,10753625694,11909748648,10389544233,11544831301,9517396914,11731852589,9435221360,12092211498,9991152334,13011645224,11011276169,12683407265,11139346066
(주)대현,16090,,,,,,,,,,,,,,,,,,,,
(주)대호에이엘,69460,167098004,148258628,179347681,162099506,151031967,139018374,139063658,129463770,,,,,,,,,,,,
(주)대호특수강,21040,,,,,,,,,,,,,,,,,,,,
(주)더 미동,161570,,,,,,,41879645,34820468,36758112,30847450,40713758,36336801,28872693,27836526,28157406,25594527,19602894,18497557,24883150,23612761
(주)더블유게임즈,192080,,,,,,,,,,,,,,,,,,,513847375,0
(주)더블유아이,73570,79793456,72682841,52297039,48498540,21961327,26603373,95416105,91372969,,,,,4764944,5462645,12072601,10732723,19277934,10259603,,
(주)더블유에스아이,299170,,,,,,,,,,,,,,,,,,,,
(주)더존비즈온,12510,117365978,52033082,115664742,55444768,124921239,58641223,129601816,63042620,136381212,66877687,157733506,68759907,176766996,71810028,205605875,84090667,226933182,99851648,262663608,113379969
(주)덕산테코피아,317330,,,,,,,,,,,,,,,,,,,,
(주)덕성,4830,111180222,100298283,90994471,82467070,91531135,78813801,97418617,82108000,82288347,71093725,76938066,67410980,103808604,90365515,100706194,88686235,83746049,76114605,86726847,74742661
(주)덕신하우징,90410,,,,,,,,,,,104896222,88099466,121634452,116770375,125887825,106260231,135363460,112691028,149006750,130582054
(주)데이타솔루션,263800,,,,,,,,,,,,,,,,,,,,
(주)덱스터스튜디오,206560,,,,,,,,,,,26054827,17110461,31776984,21742402,25334023,35605479,39216741,28124851,55482725,0
(주)덴티스,261200,,,,,,,,,,,,,,,,,,,,
