,회사명,거래소코드,회계년도,R & D 투자효율,통계청 한국표준산업분류 10차(소분류)
154,(주)광림,14200,17-Dec,0,  자동차용 엔진 및 자동차 제조업
155,(주)광림,14200,18-Dec,0,  자동차용 엔진 및 자동차 제조업
156,(주)광림,14200,19-Dec,0,  자동차용 엔진 및 자동차 제조업
157,(주)광명전기,17040,11-Dec,0,"  전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업"
158,(주)광명전기,17040,12-Dec,0,"  전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업"
159,(주)광명전기,17040,13-Dec,0,"  전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업"
160,(주)광명전기,17040,14-Dec,0,"  전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업"
161,(주)광명전기,17040,15-Dec,0,"  전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업"
162,(주)광명전기,17040,16-Dec,0,"  전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업"
163,(주)광명전기,17040,17-Dec,0,"  전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업"
164,(주)광명전기,17040,18-Dec,0,"  전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업"
165,(주)광명전기,17040,19-Dec,0,"  전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업"
166,(주)광무,29480,11-Dec,0,  통신 및 방송 장비 제조업
167,(주)광무,29480,12-Dec,0,  통신 및 방송 장비 제조업
168,(주)광무,29480,13-Dec,0,  통신 및 방송 장비 제조업
169,(주)광무,29480,14-Dec,0,  통신 및 방송 장비 제조업
170,(주)광무,29480,15-Dec,0,  통신 및 방송 장비 제조업
171,(주)광무,29480,16-Dec,0,  통신 및 방송 장비 제조업
172,(주)광무,29480,17-Dec,0,  통신 및 방송 장비 제조업
173,(주)광무,29480,18-Dec,0,  통신 및 방송 장비 제조업
174,(주)광무,29480,19-Dec,0,  통신 및 방송 장비 제조업
175,(주)구영테크,53270,11-Dec,0,  자동차 신품 부품 제조업
