,회사명,거래소코드,회계년도,기업수명,기업수명(연결)
354,(주)금비,8870,12-Sep,성숙기,성숙기
355,(주)금비,8870,13-Sep,성장기,성숙기
356,(주)금비,8870,14-Sep,성장기,성장기
357,(주)금비,8870,15-Sep,성숙기,성숙기
358,(주)금비,8870,16-Sep,성장기,성장기
359,(주)금비,8870,17-Sep,성숙기,성숙기
360,(주)금비,8870,18-Sep,성숙기,성숙기
361,(주)금비,8870,19-Sep,성숙기,성숙기
362,(주)금양,1570,11-Dec,성장기,도입기
363,(주)금양,1570,12-Dec,성장기,성장기
364,(주)금양,1570,13-Dec,도입기,도입기
365,(주)금양,1570,14-Dec,성숙기,성숙기
366,(주)금양,1570,15-Dec,성장기,성장기
367,(주)금양,1570,16-Dec,성장기,성장기
368,(주)금양,1570,17-Dec,쇄신기,쇠퇴기
369,(주)금양,1570,18-Dec,도입기,성장기
370,(주)금양,1570,19-Dec,쇠퇴기,도입기
371,(주)금호에이치티,214330,15-Dec,성숙기,성장기
372,(주)금호에이치티,214330,16-Dec,성장기,성장기
373,(주)금호에이치티,214330,17-Dec,성숙기,성숙기
374,(주)금호에이치티,214330,18-Dec,성장기,성장기
375,(주)금호에이치티,214330,19-Dec,성장기,성장기
376,(주)금화피에스시,36190,11-Dec,성숙기,성숙기
377,(주)금화피에스시,36190,12-Dec,성숙기,성숙기
378,(주)금화피에스시,36190,13-Dec,성장기,성숙기
379,(주)금화피에스시,36190,14-Dec,쇄신기,쇄신기
380,(주)금화피에스시,36190,15-Dec,성숙기,성숙기
381,(주)금화피에스시,36190,16-Dec,성숙기,성숙기
382,(주)금화피에스시,36190,17-Dec,성숙기,성숙기
383,(주)금화피에스시,36190,18-Dec,성숙기,성숙기
384,(주)금화피에스시,36190,19-Dec,성숙기,성숙기
385,(주)기가레인,49080,13-Dec,성장기,성장기
386,(주)기가레인,49080,14-Dec,성장기,성장기
387,(주)기가레인,49080,15-Dec,도입기,도입기
388,(주)기가레인,49080,16-Dec,도입기,도입기
389,(주)기가레인,49080,17-Dec,도입기,도입기
390,(주)기가레인,49080,18-Dec,쇠퇴기,쇠퇴기
391,(주)기가레인,49080,19-Dec,성숙기,성숙기
392,(주)기산텔레콤,35460,11-Dec,성장기,도입기
393,(주)기산텔레콤,35460,12-Dec,쇄신기,쇄신기
394,(주)기산텔레콤,35460,13-Dec,성숙기,쇠퇴기
395,(주)기산텔레콤,35460,14-Dec,성장기,쇠퇴기
396,(주)기산텔레콤,35460,15-Dec,쇄신기,성숙기
397,(주)기산텔레콤,35460,16-Dec,쇄신기,도입기
398,(주)기산텔레콤,35460,17-Dec,쇄신기,성숙기
399,(주)기산텔레콤,35460,18-Dec,쇄신기,쇄신기
400,(주)기산텔레콤,35460,19-Dec,성장기,쇄신기
401,(주)까뮤이앤씨,13700,11-Dec,도입기,도입기
402,(주)까뮤이앤씨,13700,12-Dec,쇄신기,쇄신기
403,(주)까뮤이앤씨,13700,13-Dec,쇠퇴기,쇠퇴기
404,(주)까뮤이앤씨,13700,14-Dec,쇄신기,쇄신기
405,(주)까뮤이앤씨,13700,15-Dec,쇄신기,쇄신기
406,(주)까뮤이앤씨,13700,16-Dec,도입기,도입기
407,(주)까뮤이앤씨,13700,17-Dec,쇄신기,쇄신기
408,(주)까뮤이앤씨,13700,18-Dec,도입기,도입기
409,(주)까뮤이앤씨,13700,19-Dec,쇄신기,쇄신기
410,(주)까스텔바작,308100,19-Dec,성장기,성장기
411,(주)나노,187790,14-Dec,8,8
412,(주)나노,187790,15-Dec,쇠퇴기,쇠퇴기
413,(주)나노,187790,16-Dec,쇄신기,성장기
414,(주)나노,187790,17-Dec,도입기,도입기
415,(주)나노,187790,18-Dec,성장기,성장기
416,(주)나노,187790,19-Dec,성장기,성장기
417,(주)나노브릭,286750,19-Dec,도입기,도입기
418,(주)나노신소재,121600,11-Dec,도입기,도입기
419,(주)나노신소재,121600,12-Dec,성숙기,성숙기
420,(주)나노신소재,121600,13-Dec,쇄신기,쇄신기
421,(주)나노신소재,121600,14-Dec,성장기,성장기
422,(주)나노신소재,121600,15-Dec,성장기,성장기
423,(주)나노신소재,121600,16-Dec,성숙기,성숙기
424,(주)나노신소재,121600,17-Dec,성숙기,성숙기
425,(주)나노신소재,121600,18-Dec,성숙기,성숙기
426,(주)나노신소재,121600,19-Dec,성숙기,성숙기
427,(주)나노엔텍,39860,11-Dec,도입기,도입기
428,(주)나노엔텍,39860,12-Dec,쇠퇴기,쇠퇴기
429,(주)나노엔텍,39860,13-Dec,성숙기,쇄신기
430,(주)나노엔텍,39860,14-Dec,쇄신기,쇄신기
431,(주)나노엔텍,39860,15-Dec,도입기,도입기
