,Unnamed: 0,회사명,거래소코드,회계년도,영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),투자활동으로 인한 현금흐름(*)(IFRS)(천원),재무활동으로 인한 현금흐름(*)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),투자활동으로 인한 현금흐름(*)(IFRS연결)(천원),재무활동으로 인한 현금흐름(*)(IFRS연결)(천원),영업활동,투자활동,재무활동,영업활동(연결),투자활동(연결),재무활동(연결),기업수명,기업수명(연결)
169,169,(주)경동인베스트,12320,19-Dec,1024556,-4938785,-1799483,32390710,-8561739,-21627299,+,-,-,+,-,-,성숙기,성숙기
170,170,(주)경방,50,11-Dec,-11592653,-26435986,32574333,-14647398,-26322473,35048132,-,-,+,-,-,+,도입기,도입기
171,171,(주)경방,50,12-Dec,27341666,-19372995,-10132004,17789061,-27697875,8478478,+,-,-,+,-,+,성숙기,성장기
172,172,(주)경방,50,13-Dec,50395794,669867,-50551741,51153970,-3280250,-48062284,+,+,-,+,-,-,쇄신기,성숙기
173,173,(주)경방,50,14-Dec,29566345,-30920122,1405347,23819336,-33885316,7248278,+,-,+,+,-,+,성장기,성장기
174,174,(주)경방,50,15-Dec,44076364,-5543521,-39097741,39920580,-36713625,-4572002,+,-,-,+,-,-,성숙기,성숙기
175,175,(주)경방,50,16-Dec,61707854,-3211754,-59401698,67981079,-13675594,-53643827,+,-,-,+,-,-,성숙기,성숙기
176,176,(주)경방,50,17-Dec,51272565,6831805,-56521554,57866501,-19767162,-36109907,+,+,-,+,-,-,쇄신기,성숙기
177,177,(주)경방,50,18-Dec,29443002,-32823008,1757966,12093896,-25719906,10321447,+,-,+,+,-,+,성장기,성장기
178,178,(주)경방,50,19-Dec,65270564,-79930463,15530860,66875285,-45096923,-14956599,+,-,+,+,-,-,성장기,성숙기
179,179,(주)경보제약,214390,15-Dec,4240142,-27781942,20772532,,,,+,-,+,8,8,8,성장기,성장기
180,180,(주)경보제약,214390,16-Dec,25328803,-20158761,-4820443,,,,+,-,-,8,8,8,성숙기,성숙기
181,181,(주)경보제약,214390,17-Dec,25805146,-6395974,-16842415,,,,+,-,-,8,8,8,성숙기,성숙기
182,182,(주)경보제약,214390,18-Dec,-1138159,-8194652,7818998,,,,-,-,+,8,8,8,도입기,도입기
183,183,(주)경보제약,214390,19-Dec,23668111,-28127563,6110674,,,,+,-,+,8,8,8,성장기,성장기
184,184,(주)경인양행,12610,11-Dec,10022891,-4871100,-5585049,9839673,-9877016,-5766473,+,-,-,+,-,-,성숙기,성숙기
