회사명,거래소코드,회계년도,투자활동으로 인한 현금흐름(*)(IFRS)(천원),투자활동 변화율,투자활동으로 인한 현금흐름(*)(IFRS연결)(천원),투자활동변화율(연결)
(주)공구우먼,366030,17-Dec,,,,
(주)공구우먼,366030,18-Dec,,,,
(주)공구우먼,366030,19-Dec,,,,
(주)광림,14200,11-Dec,11284092,,,
(주)광림,14200,12-Dec,-281965,,,
(주)광림,14200,13-Dec,-11827159,,,
(주)광림,14200,14-Dec,-19433678,,-13004183,
(주)광림,14200,15-Dec,-86902095,,,
(주)광림,14200,16-Dec,-23751125,,-11978430,
(주)광림,14200,17-Dec,-12037167,,-7625214,
(주)광림,14200,18-Dec,-1944893,,-8169183,
(주)광림,14200,19-Dec,-37280398,,-47636791,
(주)광명전기,17040,11-Dec,-1449039,,-1505720,
(주)광명전기,17040,12-Dec,-1250745,,-1024973,
(주)광명전기,17040,13-Dec,1304261,,373757,
(주)광명전기,17040,14-Dec,-5355171,,-7261188,
(주)광명전기,17040,15-Dec,2980677,,2326377,
(주)광명전기,17040,16-Dec,-7057653,,-35162672,
(주)광명전기,17040,17-Dec,-4084096,,-8947369,
(주)광명전기,17040,18-Dec,-1391132,,-2977933,
(주)광명전기,17040,19-Dec,-22239879,,-24504535,
(주)광무,29480,11-Dec,-26650423,,-26234397,
(주)광무,29480,12-Dec,5189931,,4070985,
(주)광무,29480,13-Dec,-6156953,,-4579970,
(주)광무,29480,14-Dec,2564009,,,
(주)광무,29480,15-Dec,2044961,,,
(주)광무,29480,16-Dec,-3007014,,,
(주)광무,29480,17-Dec,-7185601,,,
(주)광무,29480,18-Dec,-1332045,,-319877,
(주)광무,29480,19-Dec,-18999421,,-17176123,
(주)광주신세계,37710,11-Dec,-54058672,,,
(주)광주신세계,37710,12-Dec,-43652264,,,
(주)광주신세계,37710,13-Dec,-274884013,,,
(주)광주신세계,37710,14-Dec,-5467556,,,
(주)광주신세계,37710,15-Dec,-5629270,,,
(주)광주신세계,37710,16-Dec,-9172921,,,
(주)광주신세계,37710,17-Dec,-3587726,,,
(주)광주신세계,37710,18-Dec,-658704,,,
(주)광주신세계,37710,19-Dec,-55381469,,,
(주)구영테크,53270,11-Dec,-7112406,,-9334663,
(주)구영테크,53270,12-Dec,-12928824,,-19332088,
(주)구영테크,53270,13-Dec,7208450,,2200348,
(주)구영테크,53270,14-Dec,-475784,,-7627163,
(주)구영테크,53270,15-Dec,-4054529,,-9701693,
(주)구영테크,53270,16-Dec,-10098787,,-16813216,
(주)구영테크,53270,17-Dec,-21760013,,-23239804,
(주)구영테크,53270,18-Dec,-14236839,,-19303224,
(주)구영테크,53270,19-Dec,-5659531,,-6494849,
(주)국동,5320,11-Dec,-101794,,-563056,
(주)국동,5320,12-Dec,-1294262,,-802263,
(주)국동,5320,13-Dec,264854,,-1008688,
(주)국동,5320,14-Dec,-1656764,,-4423508,
(주)국동,5320,15-Dec,-9860769,,-3399517,
(주)국동,5320,16-Dec,-3327326,,-15940624,
(주)국동,5320,17-Dec,-357799,,-4410422,
(주)국동,5320,18-Dec,3111773,,1472014,
(주)국동,5320,19-Dec,-30786612,,-23961325,
(주)국보,1140,11-Dec,784698,,961955,
(주)국보,1140,12-Dec,-1146905,,-1274126,
(주)국보,1140,13-Dec,-4284683,,-3656970,
(주)국보,1140,14-Dec,573563,,604389,
(주)국보,1140,15-Dec,3006756,,3057463,
(주)국보,1140,16-Dec,606081,,194932,
(주)국보,1140,17-Dec,-753184,,-531778,
(주)국보,1140,18-Dec,20506005,,20673339,
(주)국보,1140,19-Dec,-9888438,,-2963513,
(주)국보디자인,66620,11-Dec,-12284777,,-9687267,
(주)국보디자인,66620,12-Dec,-7157603,,-7894541,
(주)국보디자인,66620,13-Dec,-25637094,,-24803246,
(주)국보디자인,66620,14-Dec,-8765083,,-10641719,
(주)국보디자인,66620,15-Dec,-5527725,,-9937234,
(주)국보디자인,66620,16-Dec,-5351274,,-3570086,
(주)국보디자인,66620,17-Dec,-3705288,,-1877183,
(주)국보디자인,66620,18-Dec,-6824210,,-8679349,
(주)국보디자인,66620,19-Dec,-9008695,,-3573627,
(주)국순당,43650,11-Dec,-10565958,,-9565683,
(주)국순당,43650,12-Dec,-10808940,,-10521522,
(주)국순당,43650,13-Dec,-7201301,,-3743052,
(주)국순당,43650,14-Dec,-3795767,,5409553,
(주)국순당,43650,15-Dec,-350008,,4802344,
(주)국순당,43650,16-Dec,-11010751,,-12698994,
(주)국순당,43650,17-Dec,-3908307,,15508783,
(주)국순당,43650,18-Dec,-23419217,,-3833228,
(주)국순당,43650,19-Dec,17963082,,19566430,
(주)국영지앤엠,6050,11-Dec,-18568769,,,
(주)국영지앤엠,6050,12-Dec,9456019,,,
(주)국영지앤엠,6050,13-Dec,-298265,,,
(주)국영지앤엠,6050,14-Dec,364719,,,
(주)국영지앤엠,6050,15-Dec,-1747715,,,
(주)국영지앤엠,6050,16-Dec,-498703,,,
(주)국영지앤엠,6050,17-Dec,-3251231,,,
(주)국영지앤엠,6050,18-Dec,-329312,,,
(주)국영지앤엠,6050,19-Dec,-396408,,,
(주)국전약품,307750,18-Dec,,,,
(주)국전약품,307750,19-Dec,,,,
(주)그래디언트,35080,11-Dec,-173122093,,-260754525,
(주)그래디언트,35080,12-Dec,52111793,,52759251,
(주)그래디언트,35080,13-Dec,2521692,,-10169694,
(주)그래디언트,35080,14-Dec,13463237,,-138819396,
(주)그래디언트,35080,15-Dec,-11708445,,-21576537,
(주)그래디언트,35080,16-Dec,10175946,,-65823461,
(주)그래디언트,35080,17-Dec,-1423754,,-158100941,
(주)그래디언트,35080,18-Dec,2772568,,-34993424,
(주)그래디언트,35080,19-Dec,1879505,,-88105524,
(주)그리티,204020,11-Dec,,,,
(주)그리티,204020,12-Dec,,,,
(주)그리티,204020,13-Dec,,,,
(주)그리티,204020,14-Dec,-9988297,,-9765549,
(주)그리티,204020,15-Dec,-4393030,,-3816155,
(주)그리티,204020,16-Dec,-3511123,,-3692274,
(주)그리티,204020,17-Dec,2608415,,4564980,
(주)그리티,204020,18-Dec,-24763196,,-23503665,
(주)그리티,204020,19-Dec,4865664,,11577718,
(주)그린플러스,186230,11-Dec,,,,
(주)그린플러스,186230,12-Dec,,,,
(주)그린플러스,186230,13-Dec,,,,
(주)그린플러스,186230,14-Dec,,,,
(주)그린플러스,186230,15-Dec,,,,
(주)그린플러스,186230,16-Dec,,,,
(주)그린플러스,186230,17-Dec,,,,
(주)그린플러스,186230,18-Dec,-4722894,,-5987261,
(주)그린플러스,186230,19-Dec,-1466296,,-833175,
(주)글로벌스탠다드테크놀로지,83450,11-Dec,-8018854,,-8602113,
(주)글로벌스탠다드테크놀로지,83450,12-Dec,2709335,,2920877,
(주)글로벌스탠다드테크놀로지,83450,13-Dec,-1241318,,-2967228,
(주)글로벌스탠다드테크놀로지,83450,14-Dec,-2949094,,-3285187,
(주)글로벌스탠다드테크놀로지,83450,15-Dec,-6587826,,-9000109,
(주)글로벌스탠다드테크놀로지,83450,16-Dec,-2958189,,-3735368,
(주)글로벌스탠다드테크놀로지,83450,17-Dec,-11691693,,-11451677,
(주)글로벌스탠다드테크놀로지,83450,18-Dec,-8950470,,-6874684,
(주)글로벌스탠다드테크놀로지,83450,19-Dec,-5336020,,-4544589,
(주)금비,8870,11-Sep,-37446901,,-47042393,
(주)금비,8870,12-Sep,-3028774,,-818772,
(주)금비,8870,13-Sep,-4899854,,-12924970,
(주)금비,8870,14-Sep,-11919825,,-18434620,
(주)금비,8870,15-Sep,-1576076,,-12543676,
(주)금비,8870,16-Sep,-11532048,,-18296006,
(주)금비,8870,17-Sep,-3612670,,-10670278,
(주)금비,8870,18-Sep,-4887190,,-10311501,
(주)금비,8870,19-Sep,-3978628,,-21688731,
(주)금양,1570,11-Dec,-9889332,,-12571372,
(주)금양,1570,12-Dec,-4588649,,-2042502,
(주)금양,1570,13-Dec,-5026711,,-5428647,
(주)금양,1570,14-Dec,-3441343,,-3644286,
(주)금양,1570,15-Dec,-10393782,,-14191694,
(주)금양,1570,16-Dec,-7926270,,-25422638,
(주)금양,1570,17-Dec,3248321,,36103858,
(주)금양,1570,18-Dec,-1308968,,-11960943,
(주)금양,1570,19-Dec,2464547,,-8906710,
(주)금호에이치티,214330,11-Dec,,,,
(주)금호에이치티,214330,12-Dec,,,,
(주)금호에이치티,214330,13-Dec,-3440807,,-5333536,
(주)금호에이치티,214330,14-Dec,-7277787,,-9278409,
(주)금호에이치티,214330,15-Dec,-6309220,,-11722997,
(주)금호에이치티,214330,16-Dec,-36468175,,-36388667,
(주)금호에이치티,214330,17-Dec,-2261968,,-2282805,
(주)금호에이치티,214330,18-Dec,-40567013,,-28172858,
(주)금호에이치티,214330,19-Dec,-64730024,,-60794284,
(주)금화피에스시,36190,11-Dec,-15744622,,,
(주)금화피에스시,36190,12-Dec,-7136828,,,
(주)금화피에스시,36190,13-Dec,-12869887,,-7778578,
(주)금화피에스시,36190,14-Dec,1113641,,1994456,
(주)금화피에스시,36190,15-Dec,-11723955,,-13183325,
(주)금화피에스시,36190,16-Dec,-20071544,,-23645928,
(주)금화피에스시,36190,17-Dec,-37436939,,-38640412,
(주)금화피에스시,36190,18-Dec,-15380846,,-18288162,
(주)금화피에스시,36190,19-Dec,-4321502,,-5957598,
(주)기가레인,49080,13-Dec,-23508555,,-22492882,
(주)기가레인,49080,14-Dec,-26623360,,-26061991,
(주)기가레인,49080,15-Dec,-21080726,,-19440087,
(주)기가레인,49080,16-Dec,-14467677,,-14973495,
(주)기가레인,49080,17-Dec,-10625525,,-11214399,
(주)기가레인,49080,18-Dec,2263291,,4405045,
(주)기가레인,49080,19-Dec,-1695891,,-1368041,
(주)기산텔레콤,35460,11-Dec,-11861764,,-10995902,
(주)기산텔레콤,35460,12-Dec,7946511,,6418760,
(주)기산텔레콤,35460,13-Dec,-481364,,9873020,
(주)기산텔레콤,35460,14-Dec,-987658,,294047,
(주)기산텔레콤,35460,15-Dec,2327290,,-306123,
(주)기산텔레콤,35460,16-Dec,-6745004,,-9169099,
(주)기산텔레콤,35460,17-Dec,39118,,-380704,
(주)기산텔레콤,35460,18-Dec,-3968651,,-1096094,
