회사명,회계년도,거래소코드,매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),매출원가율
동방,15-Dec,4140,629844689,560039072,0.889170111
동방,16-Dec,4140,575084778,481199052,0.836744547
동방,17-Dec,4140,506138372,445066424,0.879337447
동방,18-Dec,4140,526437269,468530473,0.890002476
동방,19-Dec,4140,633047832,562786580,0.889011148
동방선기,11-Dec,99410,55491589,44574776,0.803270852
동방선기,12-Dec,99410,38614066,31457813,0.814672379
동방선기,13-Dec,99410,24243352,22189235,0.915270916
동방선기,14-Dec,99410,35538546,32531196,0.915377799
동방선기,15-Dec,99410,45092509,39089591,0.866875494
동방선기,16-Dec,99410,29202617,25112787,0.859949881
동방선기,17-Dec,99410,19302291,19302291,1
동방선기,18-Dec,99410,17058634,17058634,1
동방선기,19-Dec,99410,23630293,23630293,1
동성케미컬,11-Dec,102260,582112775,503706822,0.865307967
동성케미컬,12-Dec,102260,654021296,546835126,0.83611211
동성케미컬,13-Dec,102260,823409697,706293035,0.857766234
동성케미컬,14-Dec,102260,905441155,772929478,0.853649598
동성케미컬,15-Dec,102260,871224899,718164252,0.824315573
동성케미컬,16-Dec,102260,852912858,697126952,0.817348391
동성케미컬,17-Dec,102260,827336387,735222486,0.888662094
동성케미컬,18-Dec,102260,813073125,718053309,0.883134969
동성케미컬,19-Dec,102260,849786144,701871558,0.825939047
동성화인텍,11-Dec,33500,177618063,177618063,1
동성화인텍,12-Dec,33500,239381785,239381785,1
동성화인텍,13-Dec,33500,409450161,409450161,1
동성화인텍,14-Dec,33500,420798887,420798887,1
동성화인텍,15-Dec,33500,347135317,304116635,0.876075179
동성화인텍,16-Dec,33500,335005289,290877606,0.868277653
동성화인텍,17-Dec,33500,230970494,233603768,1.011400911
동성화인텍,18-Dec,33500,188129063,175150571,0.931012828
동성화인텍,19-Dec,33500,253271782,202339444,0.798902438
동양,11-Dec,1520,1491867213,1297586578,0.869773507
동양,12-Dec,1520,1709382603,1380245600,0.807452701
동양,13-Dec,1520,567649867,445734859,0.78522851
동양,14-Dec,1520,381219825,326944000,0.857625912
동양,15-Dec,1520,392665079,323879630,0.824824124
동양,16-Dec,1520,439901519,386167620,0.877850163
동양,17-Dec,1520,483087800,426606317,0.883082365
동양,18-Dec,1520,529745193,471239682,0.889559147
동양,19-Dec,1520,539085144,489344574,0.907731514
동양고속,11-Dec,84670,203129076,174107516,0.857127495
동양고속,12-Dec,84670,115450487,96384083,0.834852113
동양고속,13-Dec,84670,127101782,106966255,0.841579507
동양고속,14-Dec,84670,136283088,107296318,0.787304717
동양고속,15-Dec,84670,135760744,110525890,0.814122601
동양고속,16-Dec,84670,155526430,124383294,0.799756633
동양고속,17-Dec,84670,141870839,120250722,0.847607041
동양고속,18-Dec,84670,132272993,117884781,0.891223358
동양고속,19-Dec,84670,140473417,120519769,0.857954278
동양에스텍,11-Dec,60380,216818796,203147857,0.93694763
동양에스텍,12-Dec,60380,205473230,195490283,0.951414853
동양에스텍,13-Dec,60380,224278761,211730799,0.944051938
동양에스텍,14-Dec,60380,174225548,165155375,0.947940052
동양에스텍,15-Dec,60380,133784506,124550829,0.930980969
동양에스텍,16-Dec,60380,151970509,139414035,0.917375588
동양에스텍,17-Dec,60380,186236108,174168137,0.935200692
동양에스텍,18-Dec,60380,189075199,177633679,0.939486934
동양에스텍,19-Dec,60380,212129297,198379170,0.935180443
동우팜투테이블,11-Dec,88910,218666059,218666059,1
동우팜투테이블,12-Dec,88910,214253245,214253245,1
동우팜투테이블,13-Dec,88910,251708531,251708531,1
동우팜투테이블,14-Dec,88910,219796482,219796482,1
동우팜투테이블,15-Dec,88910,239667925,239667925,1
동우팜투테이블,16-Dec,88910,235752895,235752895,1
동우팜투테이블,17-Dec,88910,230843688,230843688,1
동우팜투테이블,18-Dec,88910,250159235,250159235,1
동우팜투테이블,19-Dec,88910,270567996,249025198,0.920379356
동운아나텍,15-Dec,94170,56872562,56872562,1
동운아나텍,16-Dec,94170,54673627,54673627,1
동운아나텍,17-Dec,94170,54989112,54989112,1
동운아나텍,18-Dec,94170,46698555,46698555,1
동운아나텍,19-Dec,94170,54763967,54763967,1
