구분,코드,산업명,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년
(주)에이치알에스,36640,  화학물질 및 화학제품 제조업; 의약품 제외,77,81.16,80.24,77.63,78.36,80.25,78.45,83.33,86.54
(주)에이치앤비디자인,227100,  전기장비 제조업,0,0,0,0,0,0,0,83.69,87.35
(주)에이치엘사이언스,239610,  식료품 제조업,0,0,0,0,0,34.2,29.96,29.58,24.42
(주)에이치케이,44780,  기타 기계 및 장비 제조업,79.09,75.13,76.1,80.72,81.46,83.56,79.49,82.22,81.51
(주)에이텍,45660,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",79.58,83.77,84.33,84.14,76.75,78.87,78.59,75.59,74.43
(주)에이텍티앤,224110,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",0,0,0,0,81.44,88.27,80.61,72.31,71.85
(주)에이트원,230980,  출판업,0,0,0,0,0,79.17,90.51,93.36,82.25
(주)에이티세미콘,89530,"  기타 전문, 과학 및 기술 서비스업",74.72,84.32,88.48,85.41,90.94,95.78,85.77,84.22,86.29
(주)에이팩트,200470,"  기타 전문, 과학 및 기술 서비스업",0,0,0,84.92,106.9,108.78,80.83,59.71,70.82
(주)에이프로젠,7460,  금속가공제품 제조업; 기계 및 가구 제외,92.66,91.86,91.35,81.03,83.24,81.87,90.43,82.26,84.14
(주)에이프로젠헬스케어앤게임즈,109960,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",87.91,80.11,84.11,70.58,73.82,84.31,77.06,74.18,76.63
(주)에치에프알,230240,  기타금융업,0,0,0,0,0,0,0,85.66,84.87
(주)에코마케팅,230360,  전문 서비스업,0,0,0,0,0,0,0,0,0
(주)에코프로,86520,  화학물질 및 화학제품 제조업; 의약품 제외,85.08,83.03,82.26,77.58,83.12,82,77.99,71.39,67.77
(주)에코프로비엠,247540,  전기장비 제조업,0,0,0,0,0,0,0,0,88.14
(주)에프알텍,73540,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",79.54,78.51,71.53,71.06,83.23,83.56,82.56,81.15,75.85
(주)에프앤리퍼블릭,64090,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",86.26,89.35,85.48,82.25,90.91,120.97,80.46,77.29,93.36
(주)에프앤에프홀딩스,7700,"  의복, 의복 액세서리 및 모피제품 제조업",39.33,43.28,40.83,39.83,42.62,41.8,34.32,33.84,33.04
(주)에프에스엔,214270,  기타금융업,0,0,0,0,0,61.47,55.48,0,0
(주)에프에스티,36810,  기타 기계 및 장비 제조업,62.42,72.35,68.44,63.24,62.21,68.23,78.05,70.34,60.12
(주)에프엔씨엔터테인먼트,173940,  영상ㆍ오디오 기록물 제작 및 배급업,0,0,0,52.49,72.04,84.81,81.33,96.83,92
(주)엑사이엔씨,54940,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",91.86,95.11,90.11,86.37,89.85,89.28,91.04,89.34,93.71
(주)엑세스바이오인코퍼레이션,950130,  의료용 물질 및 의약품 제조업,0,0,47.93,52.18,69.19,58.42,68.05,61.29,78.34
(주)엑셈,205100,  기타금융업,0,0,0,0,42.56,58.13,45.77,42.33,42.12
(주)엑시콘,92870,  기타 기계 및 장비 제조업,0,0,0,0,71.66,67.3,66.58,68.81,68.57
(주)엔바이오니아,317870,  기타 제품 제조업,0,0,0,0,0,0,0,0,56.65
(주)엔씨소프트,36570,  정보서비스업,18.98,25.97,20.53,16.92,17.5,16.1,9.49,0,0
(주)엔아이스틸,8260,  1차 금속 제조업,81.45,83.3,83.41,85.11,84.26,81.26,83.54,81.12,84.2
(주)엔에스,217820,  기타 기계 및 장비 제조업,0,0,0,0,77.43,83.17,86.51,88.48,85
