회사명,거래소코드,회계년도,산업코드,산업명
(주)국보,001140,2014/12,084903,  육상운송 및 파이프라인 운송업
(주)국보,001140,2015/12,084903,  육상운송 및 파이프라인 운송업
(주)국보,001140,2016/12,084903,  육상운송 및 파이프라인 운송업
(주)국보,001140,2017/12,084903,  육상운송 및 파이프라인 운송업
(주)국보,001140,2018/12,084903,  육상운송 및 파이프라인 운송업
(주)국보,001140,2019/12,084903,  육상운송 및 파이프라인 운송업
(주)국보디자인,066620,2011/12,137302,"  기타 전문, 과학 및 기술 서비스업"
(주)국보디자인,066620,2012/12,064204,  전문직별 공사업
(주)국보디자인,066620,2013/12,064204,  전문직별 공사업
(주)국보디자인,066620,2014/12,064204,  전문직별 공사업
(주)국보디자인,066620,2015/12,064204,  전문직별 공사업
(주)국보디자인,066620,2016/12,064204,  전문직별 공사업
(주)국보디자인,066620,2017/12,064204,  전문직별 공사업
(주)국보디자인,066620,2018/12,064204,  전문직별 공사업
(주)국보디자인,066620,2019/12,064204,  전문직별 공사업
(주)국순당,043650,2011/12,031101,  음료 제조업
(주)국순당,043650,2012/12,031101,  음료 제조업
(주)국순당,043650,2013/12,031101,  음료 제조업
(주)국순당,043650,2014/12,031101,  음료 제조업
(주)국순당,043650,2015/12,031101,  음료 제조업
(주)국순당,043650,2016/12,031101,  음료 제조업
(주)국순당,043650,2017/12,031101,  음료 제조업
(주)국순당,043650,2018/12,031101,  음료 제조업
(주)국순당,043650,2019/12,031101,  음료 제조업
(주)국영지앤엠,006050,2011/12,032301,  비금속 광물제품 제조업
(주)국영지앤엠,006050,2012/12,032301,  비금속 광물제품 제조업
(주)국영지앤엠,006050,2013/12,032301,  비금속 광물제품 제조업
(주)국영지앤엠,006050,2014/12,032301,  비금속 광물제품 제조업
(주)국영지앤엠,006050,2015/12,032301,  비금속 광물제품 제조업
(주)국영지앤엠,006050,2016/12,032301,  비금속 광물제품 제조업
(주)국영지앤엠,006050,2017/12,032301,  비금속 광물제품 제조업
(주)국영지앤엠,006050,2018/12,032301,  비금속 광물제품 제조업
(주)국영지앤엠,006050,2019/12,032301,  비금속 광물제품 제조업
(주)국전약품,307750,2018/12,117201,  기타금융업
(주)국전약품,307750,2019/12,117201,  기타금융업
(주)그래디언트,035080,2011/12,137105,  전문 서비스업
(주)그래디언트,035080,2012/12,137105,  전문 서비스업
(주)그래디언트,035080,2013/12,137105,  전문 서비스업
(주)그래디언트,035080,2014/12,137105,  전문 서비스업
(주)그래디언트,035080,2015/12,137105,  전문 서비스업
(주)그래디언트,035080,2016/12,137105,  전문 서비스업
(주)그래디언트,035080,2017/12,137105,  전문 서비스업
(주)그래디언트,035080,2018/12,137105,  전문 서비스업
(주)그래디언트,035080,2019/12,074709,  소매업; 자동차 제외
(주)그리티,204020,2018/12,031401,"  의복, 의복 액세서리 및 모피제품 제조업"
(주)그리티,204020,2019/12,031401,"  의복, 의복 액세서리 및 모피제품 제조업"
