회사명,거래소코드,회계년도,이자보상배율,총자산증가율,유형자산증가율,유동자산증가율,재고자산증가율,자기자본증가율,순이익증가율,매출액총이익율,매출액순이익율,자기자본순이익율,총자본정상영업이익율,매출액정상영업이익율,총자본순이익율,총자본회전율,재고자산회전율,매출채권회전율,유형자산회전율,매입채무회전율,자기자본회전율,타인자본회전율,유동자산회전율,유동비율,당좌비율,현금비율,부채비율,차입금의존도,CASH_FLOW_대_부채비율,CASH_FLOW_대_매출액비율,CASH_FLOW_대_차입금비율,자기자본구성비율,차입금비율,당좌자산구성비율,유동자산구성비율,매출채권_대_매입채무비율,단기차입금_대_총차입금비율,유동부채비율,타인자본구성비율,자기자본구성비율.1,재고자산_대_유동자산비율,재고자산_대_순운전자본비율,순운전자본비율,노동장비율,기계장비율,자본집약도,노동소득분배율,설비투자효율,총자본투자효율,기계투자효율,부가가치율,종업원수증가율,R & D 투자효율,무형자산처리무형자산개발비(천원),경상개발비(천원),통계청 한국표준산업분류 10차(소분류)
감성코퍼레이션(주),36620,11-Dec,-1.352309966,-100,-100,-100,-100,-100,103.39,9.6,-84.33,-33.11,-24.53,-80.56,-25.67,0.39,15.91,3.6,6295.77,67.06,0.39,1.36,,60.06,50.14,1.23,35.56,23.83,-28.82,-21.78,-31.72,73.77,32.3,12.26,14.68,72171.09,0,33.14,26.23,73.77,16.53,0,-9.76,339.38,0,5977316.88,0,-449468.88,-0.26,,-0.74,-11.11,2.59,0,430240,  기타 전문 도매업
강남제비스코(주),860,11-Dec,88.8981491,874.69,5577.91,533.85,2916.28,1759.18,,13.15,8.07,8.44,5.01,6.07,6.65,1.05,6.88,4.82,2.93,8.72,1.05,3.89,2.05,309,233.93,98.65,25.88,1.05,15.81,4.05,308.09,79.44,1.33,30.7,40.55,181,96.01,16.52,20.56,79.44,24.29,35.92,27.43,191024.97,60213.63,704029.54,0,58.6,0.16,1.86,0.2,0.56,0,,0,  기타 화학제품 제조업
경남제약(주),53950,11-Dec,0.744154329,-42.09,-23.48,-48.37,-63.22,-78.81,0,38.84,-8.39,-17.3,2.07,4.1,-4.24,2.06,2.08,1.54,1.45,7.52,2.06,0.67,,120.52,88.78,3.45,344.9,59.34,4.74,6.81,6.2,22.48,264,41.85,56.81,331.33,50.1,209.72,77.52,22.48,26.33,154.68,9.67,39595.83,16815.2,310160.83,0,102.43,0.13,2.41,0.24,-3.28,0,0,0,  의약품 제조업
경창산업(주),24910,11-Dec,0.483766245,569.91,6227.65,187.98,2382.61,31.81,2033.71,7.11,1.3,6.41,1.4,1.34,1.36,5.78,10.9,5.89,1.82,14.46,5.78,1.41,3.45,58.15,39.86,1.48,430.69,63.63,11.36,8.79,14.49,18.84,337.7,23.27,33.95,256.66,72.24,309.79,81.16,18.84,31.46,0,-24.43,228962.49,308359.83,430010.27,0,48.51,0.26,0.36,0.25,19.73,0.87,0,3340522,  자동차 신품 부품 제조업
계룡건설산업(주),13580,11-Dec,1.527445817,176.39,-55.51,528.86,31.21,455.79,,7.62,0.68,2.09,2.91,2.53,0.78,3.42,15.98,4.61,10.81,5.8,3.42,1.74,1.59,174.95,163.19,36.06,203.97,32.05,6.55,3.94,13.72,32.9,97.41,68.02,72.93,125.86,40.2,126.7,67.1,32.9,6.72,15.69,31.24,189623.1,0,2124129.05,0,137.13,0.12,,0.11,0.41,0,0,62175,  토목 건설업
광전자(주),17900,11-Dec,0.1981706,-55.82,27.99,-74.54,-55.83,-49.17,-294.25,9.37,-11.29,-17.33,-9.95,-10.25,-10.96,1.54,4.82,6.39,2.21,11.76,1.54,2.64,2.34,144.34,74.37,17.14,54,19.29,32.11,10.12,58.36,64.94,29.71,19.7,38.23,257.17,78.1,40.79,35.06,64.94,48.47,157.79,11.74,128154.02,201409.35,254527.9,0,26.08,0.13,0.17,0.12,-8.27,2.81,13544,9078285,  반도체 제조업
광진실업(주),26910,11-Dec,5.556186681,-100,-100,-100,-100,-100,230.34,14.44,5.52,16.54,11.83,8.07,8.09,3,3.57,8.22,3.75,43.6,3,2.87,,159.78,58.97,14.43,104.52,39.56,3.48,1.34,4.49,48.9,80.9,22.22,60.21,466.47,70.87,77.06,51.1,48.9,63.1,168.63,22.53,151652.97,149579.58,426738.82,0,70.57,0.25,0.72,0.19,24.55,0.19,0,150058,  1차 철강 제조업
국일신동(주),60480,14-Dec,5.461815815,-100,-100,-100,-100,-100,-68.35,11.14,3.89,3.75,3.67,5.51,2.59,,,,,,,,,266.98,143.6,54.29,40.61,18.68,8.11,3.73,12.54,71.12,26.26,24.71,45.93,1514.92,71.03,24.19,28.88,71.12,46.21,73.89,28.73,470178.34,211461.18,878677.82,0,19.66,0.11,0.44,0.17,0,0.03,0,8956,  1차 비철금속 제조업
국제약품(주),2720,11-Mar,11111111.11,13.86,-23.27,75.96,-4.28,67.91,,44.31,3.24,5.76,6.66,7.21,2.99,1.81,2.97,2.35,2.75,15.07,1.81,2.01,,168.34,123.92,2.91,93.46,30.06,-2.5,-1.31,-4.02,51.69,58.16,46.59,63.29,734.28,75.75,72.74,48.31,51.69,26.39,65,25.69,95291.94,55731.97,306017.92,0,94.97,0.3,1.62,0.32,-3.71,0.36,0,0,  의약품 제조업
글로벌텍스프리(주),204620,14-Dec,11111111.11,-100,-100,-100,-100,-100,228.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  금융 지원 서비스업
