회사명,거래소코드,회계년도,차입금비율(IFRS),차입금비율(IFRS연결),당좌자산구성비율(IFRS),당좌자산구성비율(IFRS연결),유동자산구성비율(IFRS),유동자산구성비율(IFRS연결),매출채권 대 매입채무비율(IFRS),매출채권 대 매입채무비율(IFRS연결),단기차입금 대 총차입금비율(IFRS),단기차입금 대 총차입금비율(IFRS연결),유동부채비율(IFRS),유동부채비율(IFRS연결),타인자본구성비율(IFRS),타인자본구성비율(IFRS연결),자기자본구성비율(IFRS),자기자본구성비율(IFRS연결),재고자산 대 유동자산비율(IFRS),재고자산 대 유동자산비율(IFRS연결),재고자산 대 순운전자본비율(IFRS),재고자산 대 순운전자본비율(IFRS연결),순운전자본비율(IFRS),순운전자본비율(IFRS연결)
영진약품(주),3520,Dec-17,15.18,,35.97,,55.93,,443.71,,43.32,,31.32,,41.3,,58.7,,35.68,,53.15,,37.55,
영진약품(주),3520,Dec-18,11.01,,31.54,,55.93,,292.78,,33.9,,34.14,,43.09,,56.91,,43.61,,66.82,,36.5,
영진약품(주),3520,Dec-19,12.64,,27.63,,55.54,,357.3,,58.15,,34.37,,42.25,,57.75,,50.26,,78.21,,35.69,
영풍정밀(주),36560,Dec-11,0.09,,21.95,,31.44,,162.41,,16.26,,12.35,,23.03,,76.97,,30.18,,43.26,,21.93,
영풍정밀(주),36560,Dec-12,0.08,,15.27,,26.83,,169.04,,18.56,,9.81,,21.36,,78.64,,43.08,,60.46,,19.11,
영풍정밀(주),36560,Dec-13,0.08,,14.04,,23.58,,173.76,,10.35,,6.54,,18.73,,81.27,,40.47,,52.25,,18.26,
영풍정밀(주),36560,Dec-14,0.08,,13.02,,20.21,,244.63,,17.26,,5.66,,18.28,,81.72,,35.59,,46.16,,15.59,
영풍정밀(주),36560,Dec-15,0,,12.95,,18.98,,197.66,,0,,4.38,,17.18,,82.82,,31.75,,39.26,,15.35,
영풍정밀(주),36560,Dec-16,0,,12.05,,17.05,,187.05,,0,,4.56,,16.79,,83.21,,29.32,,37.73,,13.25,
영풍정밀(주),36560,Dec-17,0,,14.42,,19.24,,245.14,,0,,3.67,,15.91,,84.09,,25.04,,29.83,,16.15,
영풍정밀(주),36560,Dec-18,0,,19.31,,24.45,,230.6,,0,,4.88,,15.3,,84.7,,21.03,,25.31,,20.31,
영풍정밀(주),36560,Dec-19,0.25,,20.07,,26.3,,170.62,,58.22,,5.15,,15.11,,84.89,,23.69,,28.41,,21.93,
영풍제지(주),6740,Dec-11,5.34,,42.89,,53.83,,648.25,,0,,8.29,,15.26,,84.74,,20.32,,23.37,,46.81,
영풍제지(주),6740,Dec-12,4.92,,46.84,,56.27,,861.95,,0,,9.91,,16.16,,83.84,,16.76,,19.67,,47.96,
영풍제지(주),6740,Dec-13,4.63,,35.6,,46.68,,637.74,,12.77,,8.13,,13.58,,86.42,,23.73,,27.94,,39.66,
영풍제지(주),6740,Dec-14,5.51,,33.79,,43.99,,690.74,,41.78,,13.17,,14.59,,85.41,,23.17,,31.14,,32.74,
영풍제지(주),6740,Dec-15,15.62,,19.93,,29.43,,939.52,,51.64,,17.93,,22.44,,77.56,,32.29,,61.22,,15.52,
영풍제지(주),6740,Dec-16,14.78,,33.39,,41.28,,372.95,,55.16,,19.54,,22.24,,77.76,,19.1,,30.23,,26.08,
영풍제지(주),6740,Dec-17,14.53,,47.78,,55.45,,607.79,,98.22,,30.2,,23.7,,76.3,,13.84,,23.68,,32.41,
영풍제지(주),6740,Dec-18,7.68,,53.01,,59.08,,446.29,,0,,23.4,,20.02,,79.98,,10.28,,15.04,,40.37,
영풍제지(주),6740,Dec-19,5.3,5.33,32.21,32.56,38.46,38.8,842.96,842.96,96.36,95.77,14.23,14.22,14.21,14.22,85.79,85.78,16.26,16.09,23.82,23.47,26.25,26.6
영화금속(주),12280,Dec-11,109.03,152.82,31.74,36.14,44.79,49.39,512.18,385.96,97.83,97.92,129.6,187.91,59.06,67.63,40.94,32.37,29.14,26.83,0,0,-8.27,-11.44
영화금속(주),12280,Dec-12,67.91,94.17,30.57,34.3,42.96,47.26,495.93,490.42,86.65,89.97,78.08,111.67,49.49,57.82,50.51,42.18,28.85,27.41,351.85,8569,3.52,0.15
영화금속(주),12280,Dec-13,50.53,61.82,30.92,36.04,39.14,44.39,444.15,453.59,95.67,96.72,66.59,85.19,43.85,50.32,56.15,49.68,21.01,18.81,471.38,404.12,1.74,2.07
영화금속(주),12280,Dec-14,55.01,,36.07,,42.28,,424.99,,78.38,,71.21,,49.67,,50.33,,14.68,,96.4,,6.44,
영화금속(주),12280,Dec-15,52.34,,37.48,,43.32,,608.35,,75.69,,65.03,,48.46,,51.54,,13.47,,59.54,,9.8,
영화금속(주),12280,Dec-16,66.84,,32.91,,40.44,,523.74,,52.27,,60.53,,50.9,,49.1,,18.61,,70.2,,10.72,
