회사명,거래소코드,회계년도,유동비율(IFRS),유동비율(IFRS연결),당좌비율(IFRS),당좌비율(IFRS연결),현금비율(IFRS),현금비율(IFRS연결),부채비율(IFRS),부채비율(IFRS연결),차입금의존도(IFRS),차입금의존도(IFRS연결),CASH FLOW 대 부채비율(IFRS),CASH FLOW 대 부채비율(IFRS연결),CASH FLOW 대 매출액비율(IFRS),CASH FLOW 대 매출액비율(IFRS연결),CASH FLOW 대 차입금비율(IFRS),CASH FLOW 대 차입금비율(IFRS연결),자기자본구성비율(IFRS),자기자본구성비율(IFRS연결)
이구산업(주),25820,17-Dec,100.82,,33.62,,1.7,,144.35,,40.49,,1.91,,1.33,,2.79,,40.92,
이구산업(주),25820,18-Dec,98.33,,32.74,,1.01,,148.93,,43.9,,-0.93,,-0.64,,-1.26,,40.17,
이구산업(주),25820,19-Dec,97.56,,24.43,,0.64,,160.15,,42.01,,1.57,,1.21,,2.3,,38.44,
이노시스(주),56090,15-Dec,935.74,,791.97,,199.76,,23.2,,12.2,,-12.57,,-12.56,,-19.41,,81.17,
이노시스(주),56090,16-Dec,1178.74,1073.97,968.01,793.69,142.95,150.62,11.19,12.01,4.53,4.79,-57.74,-49.91,-22.9,-30.3,-128.24,-111.71,89.94,89.28
이노시스(주),56090,17-Dec,1015.48,853.41,822.25,609.13,202.08,212.36,37.21,45.66,20.35,21.02,-12.15,-10.25,-21.43,-19.12,-16.19,-15.28,72.88,68.66
이노시스(주),56090,18-Dec,148.47,200.77,92.42,122.28,27.73,60.32,79.09,90.97,34.82,36.63,-9.58,-6.3,-20.66,-7.09,-12.15,-8.2,55.84,52.36
이노시스(주),56090,19-Dec,278.55,334.83,161.32,181.2,34.65,39.59,82.54,87.12,33.18,32.87,-4.26,-7.65,-6.32,-7.28,-5.8,-10.84,54.78,53.44
이니텍(주),53350,11-Dec,334.13,167.12,332.43,164.97,75.71,36.27,12.41,74.58,0,26.38,52.61,-6.41,14.06,-3.46,0,-10.38,88.96,57.28
이니텍(주),53350,12-Dec,327.29,143.39,323.79,141.37,24.74,28.62,15.07,100.82,0,34.56,28.45,-8.87,7.69,-5.74,0,-12.89,86.91,49.8
이니텍(주),53350,13-Dec,427.79,173.78,426.8,171.34,163.32,41.81,14.04,83.02,0,29.05,42.19,2.07,9.95,1.13,0,3.23,87.69,54.64
이니텍(주),53350,14-Dec,191.5,145.39,191.5,142.86,60.09,33.02,14.21,48.61,0,15.26,47.76,37.4,11.85,13.02,0,80.16,87.56,67.29
이니텍(주),53350,15-Dec,194.03,150.64,193.68,141.12,45.41,26.26,18.52,41.63,0,12.72,21.37,22.92,6.42,7.16,0,52.97,84.37,70.6
이니텍(주),53350,16-Dec,199.92,178.66,173.06,161,70.18,44.41,21.43,43.54,0,13.08,33.33,7.52,9.35,2.38,0,17.45,82.35,69.67
이니텍(주),53350,17-Dec,322.39,339.63,317.85,331.61,127.05,113.58,11.67,32.11,0,6.74,41.77,42.93,6.96,10.37,0,154.77,89.55,75.7
이니텍(주),53350,18-Dec,297.97,355.44,293.35,347.61,162.44,166.53,12.88,31,0,3.47,23.16,73.45,5.15,15.29,0,501.64,88.59,76.33
이니텍(주),53350,19-Dec,413.87,436.83,411.88,430.94,149.07,271.85,10.18,29.41,0.24,1.03,26.13,73.33,4.8,15.04,987.37,1611.5,90.76,77.28
이스트아시아홀딩스인베스트먼트리미티드,900110,11-Dec,,443.73,,421.17,,162.92,,24.62,,4.69,,69.94,,11.09,,294.83,,80.24
이스트아시아홀딩스인베스트먼트리미티드,900110,12-Dec,,450.14,,432.5,,152.57,,42.84,,10.28,,33.91,,10.74,,98.99,,70.01
이스트아시아홀딩스인베스트먼트리미티드,900110,13-Dec,,273.68,,261.28,,72.59,,37,,10.7,,16.03,,5.9,,40.48,,72.99
이스트아시아홀딩스인베스트먼트리미티드,900110,14-Dec,,250.34,,237.95,,60.7,,41.85,,3.31,,-1.01,,-0.58,,-9.02,,70.5
이스트아시아홀딩스인베스트먼트리미티드,900110,15-Dec,,486.55,,471.25,,135.56,,20.63,,2.98,,-14.82,,-4.94,,-85,,82.9
이스트아시아홀딩스인베스트먼트리미티드,900110,16-Dec,,918.62,,893.78,,269.04,,11.35,,2.41,,-12.12,,-2.46,,-51.22,,89.8
이스트아시아홀딩스인베스트먼트리미티드,900110,17-Dec,,969,,944.05,,330.75,,10.8,,2.33,,33.37,,6.93,,139.35,,90.25
이스트아시아홀딩스인베스트먼트리미티드,900110,18-Dec,,2424.71,,2370.31,,736.13,,8.59,,3.25,,30.5,,5.41,,74.23,,92.09
이스트아시아홀딩스인베스트먼트리미티드,900110,19-Dec,,1318.62,,1298.22,,546.69,,8.67,,3.71,,29.05,,5.46,,62.55,,92.02
이엠코리아(주),95190,11-Dec,85.71,83.08,50.01,48.89,6.66,7.09,145.37,151.69,47.89,48.34,10.8,10.15,9.92,9.52,13.37,12.66,40.75,39.73
이엠코리아(주),95190,12-Dec,91.44,88.79,56.86,55.38,9.99,9.73,121.96,127.13,44.47,45.29,8.37,7.46,6.87,6.28,10.34,9.22,45.05,44.03
이엠코리아(주),95190,13-Dec,74.6,72.3,35.94,35.61,13.53,13.44,135.99,138.25,48.94,49.04,5.47,6.06,4.84,5.44,6.44,7.17,42.37,41.97
이엠코리아(주),95190,14-Dec,77.28,77.15,33.17,35.24,11.75,13.78,167.22,166.51,50.87,51.12,2.26,4.25,2.08,4.01,2.78,5.2,37.42,37.52
이엠코리아(주),95190,15-Dec,69.27,72.73,24.98,28.23,2.08,4.12,175.44,168.77,52.49,52.06,3.33,4.87,3.23,4.82,4.04,5.88,36.31,37.21
이엠코리아(주),95190,16-Dec,72.59,74.65,34.45,34.97,3.04,5.46,173.97,194.44,52.35,53.9,2.72,3.03,3.49,3.4,3.29,3.71,36.5,33.96
이엠코리아(주),95190,17-Dec,74.14,74.88,44.07,46.14,17.09,19.91,116.88,152.19,41.05,45.64,7.07,5.7,7.4,6.48,9.28,7.54,46.11,39.65
이엠코리아(주),95190,18-Dec,87.48,73.95,51.78,37.72,5.28,5.29,72.64,108.98,27.76,37.8,17.78,8.72,11.86,7.7,26.95,12.03,57.92,47.85
이엠코리아(주),95190,19-Dec,96.47,100.88,66.45,74.41,17.37,26.16,94.89,145.44,33.32,41.16,9.96,1.73,10.48,2.23,14.55,2.49,51.31,40.74
이연제약(주),102460,11-Dec,394.63,,327.43,,5.88,,27.24,,8.56,,48.31,,11.16,,120.8,,78.59,
이연제약(주),102460,12-Dec,396.58,,333.39,,8.16,,24.19,,8.31,,57.76,,15.44,,135.45,,80.52,
이연제약(주),102460,13-Dec,361.09,,291.76,,0.39,,27.07,,11.64,,28.97,,10.04,,53.04,,78.7,
이연제약(주),102460,14-Dec,419.76,,354.8,,6.55,,22.98,,7.74,,21.06,,6.71,,50.81,,81.31,
이연제약(주),102460,15-Dec,585.14,,478.21,,13,,19.79,,0.77,,28.73,,10.81,,619.16,,83.48,
이연제약(주),102460,16-Dec,614.51,,502.13,,8.3,,15.74,,0.89,,33.74,,8.43,,513.59,,86.4,
이연제약(주),102460,17-Dec,980.4,1044.67,840.34,904.54,3.12,3.42,32.39,32.4,11.7,11.7,19.42,23.55,10.95,13.28,40.62,49.25,75.54,75.53
이연제약(주),102460,18-Dec,521.87,527.98,472.9,479.05,15.4,20.65,34.12,34.51,11.54,11.63,18.65,18.14,11.79,11.47,41.1,40,74.56,74.35
이연제약(주),102460,19-Dec,392.78,398.33,319.6,325.65,9.57,17.63,23.05,23.48,12.05,12.26,-0.94,-0.7,-0.37,-0.28,-1.46,-1.09,81.27,80.99
이원다이애그노믹스(주),245620,18-Dec,963,192.35,932.02,169.23,769.49,82.54,4.39,45.82,0,4.13,-243.02,-20.73,-93.75,-22.76,0,-157.84,95.8,68.58
이원다이애그노믹스(주),245620,19-Dec,114.45,105.62,110.94,96.62,80.42,41.09,47.2,101.63,26.01,28.31,-33.97,-15.77,-138.37,-13.51,-41.88,-28.08,67.94,49.6
이원컴포텍(주),88290,11-Dec,179.59,179.59,156.79,156.79,90.3,90.3,62.79,62.46,13.79,13.75,20.77,20.77,6.35,6.35,58.1,58.1,61.43,61.55
이원컴포텍(주),88290,12-Dec,191.77,,163.42,,98.45,,55.97,,4.98,,22.13,,6.6,,159.4,,64.11,
이원컴포텍(주),88290,13-Dec,99.23,102.13,84.03,74.13,15,15.22,110.36,125.46,9.79,13.11,-6.65,-17.91,-3.75,-11.68,-35.64,-76.01,47.54,44.35
이원컴포텍(주),88290,14-Dec,82.77,85.29,68.94,54.65,1.05,2.97,133.24,169.05,17.73,24.59,-10.28,-13.47,-4.96,-7.61,-33.13,-34.42,42.87,37.17
