회사명,거래소코드,회계년도,유동자산(*)(IFRS)(천원),유동부채(*)(IFRS)(천원),자산(*)(IFRS)(천원),재고자산(*)(IFRS)(천원),자본(*)(IFRS)(천원),부채(*)(IFRS)(천원),단기차입금(*)(IFRS)(천원),장기차입금(*)(IFRS)(천원),유동성장기부채(*)(IFRS)(천원),사채(*)(IFRS)(천원),매출채권(IFRS)(천원),유동자산(*)(IFRS연결)(천원),유동부채(*)(IFRS연결)(천원),자산(*)(IFRS연결)(천원),재고자산(*)(IFRS연결)(천원),자본(*)(IFRS연결)(천원),부채(*)(IFRS연결)(천원),단기차입금(IFRS연결)(천원),장기차입금(IFRS연결)(천원),유동성장기부채(*)(IFRS연결)(천원),사채(IFRS연결)(천원),매출채권(IFRS연결)(천원)
(주)에스에이티,60540,12-Dec,9985004,8867472,42827886,595694,33214551,9613335,7000000,600085,271500,0,1437408,18725304,12772034,52372813,597019,37054839,15317975,0,0,271500,0,5155496
(주)에스에이티,60540,13-Dec,11352751,9802952,50033436,981019,37311301,12722135,6567835,556205,517820,2500000,2981967,15456702,10353474,49563802,982344,35595632,13968170,0,0,517820,0,3039819
(주)에스에이티,60540,14-Dec,17428635,7197764,62071478,1053804,47066727,15004752,542565,52660,2653799,9000000,5668442,27104660,8953643,63590390,1082492,45979849,17610541,0,0,2653799,0,7335205
(주)에스에이티,60540,15-Dec,17116683,10678182,63217469,531562,52066787,11150682,76883,0,6979140,0,6554681,40981286,29538415,85656313,6912974,54527546,31128767,0,0,7108246,0,7297721
(주)에스에이티,60540,16-Dec,22388064,4820163,68109159,1802185,62704995,5404163,0,0,0,0,10344004,47419293,25177612,93367231,8147546,66475831,26891400,0,0,0,0,8945360
(주)에스에이티,60540,17-Dec,20200468,5273853,71640551,748117,65842295,5798257,0,0,0,0,13352767,58997456,42367422,123940681,11238975,75093216,48847464,0,0,637082,0,18104602
(주)에스에이티,60540,18-Dec,24725430,4942987,75775796,549683,70411410,5364386,0,0,0,0,13476545,49517284,36069602,123134971,10142049,81489070,41645901,0,0,4145000,0,15045408
(주)에스에이티,60540,19-Dec,26844753,4647561,79829335,623332,74418053,5411282,0,0,0,0,9396989,58089327,38147200,135282080,11510583,88835954,46446127,0,0,881323,0,13600432
(주)에스에프에이,56190,11-Dec,400219109,194169968,558693510,7059411,344660752,214032758,0,0,0,0,82342117,426993323,195348521,572412763,14904995,356517243,215895520,0,0,0,0,88565374
(주)에스에프에이,56190,12-Dec,407712799,179138212,560504038,2800733,358401177,202102861,0,0,0,0,101312537,438824838,182917200,578497795,5144665,373014634,205483162,0,0,0,0,105106487
(주)에스에프에이,56190,13-Dec,413939640,102716870,566882755,3022158,443563052,123319703,0,0,0,0,35170430,449445242,107252442,588738541,5993450,461684707,127053834,0,0,0,0,38733016
(주)에스에프에이,56190,14-Dec,438515584,112161029,584502904,3616927,455960493,128542411,0,0,0,0,47779107,481874404,120862474,613179405,5503786,477486450,135692956,0,0,0,0,60197869
(주)에스에프에이,56190,15-Dec,280610406,113748090,604325817,2704194,478009103,126316714,0,0,0,0,70260278,520408604,259388776,1189374520,29406800,627808284,561566235,0,0,0,0,116917744
(주)에스에프에이,56190,16-Dec,505407067,298010295,875502496,2028052,561406099,314096397,0,0,0,0,65544946,823749713,457182785,1505259885,39695510,775625966,729633919,0,0,77209221,0,156689052
(주)에스에프에이,56190,17-Dec,840694837,432542930,1216504602,4350026,758066343,458438259,0,0,0,0,109248926,1133098145,540949051,1810808943,28526442,984854672,825954272,0,0,36917355,0,177598701
(주)에스에프에이,56190,18-Dec,609088893,289582386,1042220701,30170357,751195515,291025186,0,0,0,0,109464653,958567881,404841569,1660531818,75613959,1002987456,657544362,0,0,1548460,0,186564958
(주)에스에프에이,56190,19-Dec,702088245,307459743,1191212985,74174150,870970875,320242110,0,0,0,0,144093382,1098458552,665329115,1805907173,124393235,1112065358,693841815,0,0,202737875,0,232582458
(주)에스에프에이반도체,36540,11-Dec,125175394,191566427,462007293,18571327,212075971,249931322,149824875,48998925,0,0,46429132,171471629,223757704,599495211,45841238,221572797,377922414,0,0,0,0,53146860
(주)에스에프에이반도체,36540,12-Dec,128158445,174600336,545201057,17939830,206352521,338848536,119166640,49572440,6694375,95493096,30443161,216098285,276419291,720274926,49415030,199869032,520405895,0,0,11694375,0,46757465
(주)에스에프에이반도체,36540,13-Dec,96626902,258097922,534879837,13975729,168107312,366772525,133357440,55204000,12319125,35055813,23797595,206499580,377540808,761704719,38213375,169007839,592696880,0,0,12319125,0,47392083
