회사명,거래소코드,회계년도,자본(*)(IFRS)(천원),유동자산(*)(IFRS)(천원),유동부채(*)(IFRS)(천원),,재고자산(*)(IFRS)(천원),유형자산(*)(IFRS)(천원),자본(*)(IFRS연결)(천원),유동자산(*)(IFRS연결)(천원),유동부채(*)(IFRS연결)(천원),재고자산(*)(IFRS연결)(천원),유형자산(IFRS연결)(천원),현금및현금성자산(*)(IFRS)(천원),현금및현금성자산(*)(IFRS연결)(천원),부채(*)(IFRS)(천원),부채(*)(IFRS연결)(천원),장기차입금(*)(IFRS)(천원),단기차입금(*)(IFRS)(천원),회사채(IFRS)(천원),,장기차입금(*)(IFRS연결)(천원),단기차입금(*)(IFRS연결)(천원),회사채(IFRS연결)(천원),,자산(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),매출액(수익)(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원)
(주)MH에탄올,23150,Dec-19,59477642,18130225,14251549,,8081383,41121323,79389077,32814839,282350933,8173323,0,1583,9075329,41581021,372085374,25000000,10692858,0,,31219687,46242628,0,,101058662,451474451,46992295,80879342
(주)SH에너지화학,2360,Dec-11,64498684,47641848,32842749,,11114123,33115306,65242326,50355479,34076575,11114123,0,3590134,5237442,37884515,39468414,181920,28921046,0,,181920,28921046,0,,102383199,104710740,172752632,173209351
(주)SH에너지화학,2360,Dec-12,64888612,48762275,28724217,,14210523,32608108,64881202,50509179,29499813,14210523,0,460450,2188211,37604198,38808867,4000000,24066914,0,,4000000,24066914,0,,102492810,103690070,191907628,193950102
(주)SH에너지화학,2360,Dec-13,69781889,57773554,34930123,,11944305,31944570,69599141,59051785,35131167,11944305,0,4805311,5531807,40202877,40889810,500000,26982012,0,,500000,26982012,0,,109984767,110488951,229783541,231912218
(주)SH에너지화학,2360,Dec-14,83404299,55486941,20421353,,13898172,31070401,84237197,60325646,20681148,13898172,0,6708820,7793768,25693965,26504210,0,9568698,0,,0,9568698,0,76.44878657,109098264,110741407,226971465,230912587
(주)SH에너지화학,2360,Dec-15,90740136,63737267,16794017,,11416122,32654731,91646221,68213722,17080931,11899473,0,18503610,19647658,23308070,23874505,0,6823233,0,,0,6881833,0,,114048206,115520726,213882181,216441364
(주)SH에너지화학,2360,Dec-16,103083032,79584275,12205868,,10801243,31792327,104088887,84222915,12512423,11572141,0,24614094,26449147,19873862,20399837,0,3500000,0,,0,3560425,0,,122956894,124488724,214380015,218397677
(주)SH에너지화학,2360,Dec-17,105717970,79139030,8386725,,18561488,30956708,107693472,87597479,8284440,19985599,0,30420519,33117530,17543581,17618682,0,3500000,0,,0,3553570,0,,123261552,125312154,184672638,188114822
(주)SH에너지화학,2360,Dec-18,104065473,77591484,6653981,,20857092,29913044,105390892,85758694,6658546,22253999,0,26369412,29395933,16830322,17043794,0,3500000,0,,0,3500000,0,,120895795,122434685,180753289,183598766
(주)SH에너지화학,2360,Dec-19,97386214,74793897,7038413,,15888341,33126165,98999976,83558867,7524603,16753438,0,37495593,40801867,23740037,24415856,4800000,3500000,0,,4800000,3500000,0,,121126250,123415832,138161816,140852575
